sample_idx,baseline,flip_action_x,scale_action_0.01x,scale_action_0.05x,scale_action_y_0.25x,scale_action_y_0.1x,zero_action_y,scale_action_2x,scale_action_15x,scale_action_20x,random_action,obs_gaussian_0.01,add_0.02_all,add_0.04_all,add_0.10_all,add_0.20_all
0,0.014089033007621765,0.38660454750061035,2.1737096309661865,2.158507823944092,1.7723023891448975,2.0838441848754883,2.2103116512298584,23.501182556152344,2316.7314453125,3707.8916015625,5.619258880615234,0.01482111681252718,0.01871553063392639,0.03978654369711876,0.41727015376091003,3.1313445568084717
1,0.14822493493556976,0.5907823443412781,0.17056623101234436,0.15311199426651,0.21290838718414307,0.2977467179298401,0.30733320116996765,0.5180250406265259,121.40347290039062,188.51449584960938,7.122785568237305,0.6094016432762146,0.18806970119476318,0.2561482787132263,0.4905238151550293,0.9274044632911682
2,0.18109726905822754,1.3153653144836426,0.3291653096675873,0.31144413352012634,0.14590740203857422,0.12974365055561066,0.15431158244609833,0.34111282229423523,51.809471130371094,82.53971099853516,13.988298416137695,0.5113397240638733,0.31456583738327026,0.43206530809402466,0.5106054544448853,0.7654070258140564
3,0.07149054110050201,1.7714152336120605,1.5568177700042725,1.6230566501617432,1.4903899431228638,1.8264591693878174,2.0907928943634033,23.34162139892578,1802.5596923828125,3726.546875,1.9718818664550781,0.15790465474128723,0.19518962502479553,0.4777289628982544,2.294396162033081,6.358226776123047
4,0.009338338859379292,2.1321070194244385,2.739917516708374,2.684419631958008,2.8641197681427,2.928934097290039,3.2626729011535645,23.60983657836914,2049.5400390625,3456.8115234375,5.791192054748535,0.38499441742897034,0.0438595786690712,0.11276960372924805,0.6434213519096375,2.1052064895629883
5,0.05613216757774353,2.8953795433044434,0.6817540526390076,0.6436084508895874,0.8739801049232483,0.9734649062156677,1.0699009895324707,15.629206657409668,1298.1800537109375,2956.802978515625,7.782557487487793,0.2137041985988617,0.3779245913028717,1.012751817703247,3.2019476890563965,9.242688179016113
6,0.10553094744682312,19.901615142822266,8.81011962890625,9.34306812286377,3.7108001708984375,4.522170066833496,5.248821258544922,20.34752655029297,774.6961669921875,1060.89794921875,10.542760848999023,0.03115071728825569,0.019656997174024582,0.08759132027626038,1.0665202140808105,2.2118418216705322
7,0.16575200855731964,0.5093898177146912,0.180093914270401,0.16678760945796967,0.18644478917121887,0.1988717019557953,0.17322424054145813,0.2757525146007538,68.90254211425781,122.828857421875,0.7248097658157349,0.3189804255962372,0.17804959416389465,0.3507527709007263,0.854973554611206,1.7488791942596436
8,0.03569177910685539,24.02185821533203,8.265522003173828,8.685744285583496,1.9272667169570923,2.3910303115844727,2.6114845275878906,17.72445297241211,1292.3377685546875,2382.611083984375,10.388629913330078,0.276902973651886,0.03638462722301483,0.08981559425592422,0.7141896486282349,0.9546570777893066
9,0.10166063159704208,29.31307601928711,3.5351204872131348,3.051265239715576,0.5389144420623779,0.7651528120040894,0.8830448985099792,12.815610885620117,441.0059814453125,955.7314453125,1.1386535167694092,0.0543663389980793,0.1858280599117279,0.35314902663230896,0.9557080864906311,1.3736227750778198
10,0.015444708988070488,0.6676739454269409,2.3806986808776855,2.4949193000793457,2.2316689491271973,2.5775833129882812,2.911712646484375,19.41126251220703,1487.4083251953125,2732.179443359375,4.694719314575195,1.9820703268051147,0.07309266179800034,0.2730078101158142,1.8358604907989502,5.564449310302734
11,0.026857499033212662,0.026081226766109467,0.5927984118461609,0.6386415958404541,0.5831766724586487,0.6884084939956665,0.5991770029067993,15.117197036743164,1159.447021484375,1867.46044921875,10.334983825683594,0.5881413221359253,0.3268238604068756,1.0730962753295898,3.4682512283325195,8.444489479064941
12,0.20527471601963043,0.24530082941055298,0.33651304244995117,0.35891756415367126,0.3379308581352234,0.3151944577693939,0.3608786165714264,0.12866736948490143,7.768453598022461,18.117563247680664,2.781463146209717,0.3791997730731964,0.12645083665847778,0.39837533235549927,1.3938934803009033,3.8474535942077637
13,0.04397530481219292,13.996774673461914,6.681632041931152,7.211813926696777,0.952173113822937,0.9807553291320801,1.1631853580474854,9.229717254638672,671.854736328125,1310.0318603515625,12.618569374084473,0.14574624598026276,0.0833994448184967,0.186343714594841,0.7131626009941101,0.5699645280838013
14,0.010084814392030239,1.6891494989395142,1.3559551239013672,1.370906114578247,1.4927997589111328,1.6170036792755127,1.6487685441970825,27.998741149902344,2114.111083984375,3241.72509765625,3.30259108543396,0.09214277565479279,0.13050402700901031,0.43137961626052856,2.260592460632324,7.4336137771606445
15,0.021529003977775574,0.3750513792037964,3.6518478393554688,3.586965560913086,2.426328420639038,2.973646640777588,3.7289130687713623,19.291872024536133,2248.58984375,2844.83203125,32.74040603637695,1.4295694828033447,0.10018476098775864,0.23718193173408508,1.0938594341278076,1.2749207019805908
16,0.025612490251660347,2.061619997024536,1.412061095237732,1.2998344898223877,1.769033670425415,1.7346404790878296,1.8978904485702515,24.26392364501953,1473.5150146484375,3359.776123046875,5.154901504516602,0.539091944694519,0.3104945719242096,0.9960119724273682,3.4352617263793945,9.178827285766602
17,0.02368341200053692,1.661109447479248,2.7276387214660645,2.823134422302246,2.4617273807525635,2.688843250274658,2.756074905395508,26.012847900390625,2396.927734375,2863.70703125,8.288314819335938,2.386385440826416,0.04904155433177948,0.14700862765312195,0.9344366788864136,4.271026611328125
18,0.006745031103491783,0.04436565935611725,1.1660511493682861,1.0624319314956665,1.0045502185821533,0.995132565498352,1.1090935468673706,29.346405029296875,2044.9407958984375,3179.428955078125,2.5130865573883057,0.43893787264823914,0.2510501444339752,0.8901001214981079,3.845320224761963,8.608208656311035
19,0.023765351623296738,4.2456374168396,0.5502102971076965,0.5746488571166992,1.2179081439971924,1.373925805091858,1.4600422382354736,20.320329666137695,1810.9129638671875,3687.06103515625,1.5406181812286377,0.032452527433633804,0.3017962574958801,0.8087941408157349,3.0959246158599854,9.236452102661133
20,0.00921228714287281,0.19633813202381134,2.1152055263519287,2.1364591121673584,2.0029406547546387,2.1745452880859375,2.0520029067993164,27.030044555664062,2152.1767578125,3301.896484375,7.9344964027404785,0.8114569187164307,0.029849370941519737,0.10812351852655411,1.073050618171692,4.390324592590332
21,0.5309242606163025,0.5357525944709778,0.8203402757644653,0.7787249088287354,0.3629950284957886,0.5344805121421814,0.6225080490112305,5.862607479095459,1340.070068359375,2464.5517578125,0.3160216808319092,0.8351258039474487,0.710708498954773,1.15837824344635,3.022350311279297,8.182686805725098
22,0.04832898825407028,0.05718598887324333,0.9125863313674927,0.807810366153717,0.7839367985725403,0.874976634979248,0.949648380279541,3.1190223693847656,635.2271118164062,892.80517578125,0.4857472777366638,0.06785179674625397,0.21407519280910492,0.5906175374984741,2.1207115650177,5.113977909088135
23,0.04510479420423508,0.295093834400177,1.0250765085220337,1.0882259607315063,0.9442699551582336,1.215349793434143,1.2109131813049316,23.524734497070312,2361.1318359375,3482.442138671875,5.628599166870117,0.12848889827728271,0.19568295776844025,0.41128620505332947,1.7004590034484863,5.166059970855713
24,0.09307568520307541,2.0493788719177246,2.347756862640381,2.041752576828003,2.046518325805664,2.121042490005493,2.0253865718841553,23.290218353271484,2027.810546875,3741.447265625,6.61392879486084,0.5735016465187073,0.19992180168628693,0.39631447196006775,1.6858681440353394,6.368112564086914
25,0.07452648133039474,0.07242222130298615,0.3782123327255249,0.340218186378479,0.2696167528629303,0.3508276045322418,0.36990708112716675,0.4960281550884247,153.3959503173828,231.88198852539062,0.8599516749382019,0.08820205926895142,0.11916223168373108,0.4955783188343048,1.7704792022705078,3.9877982139587402
26,0.16051283478736877,0.16216453909873962,0.1663578301668167,0.18045243620872498,0.16443239152431488,0.1734522581100464,0.14929266273975372,0.1917102038860321,3.059206247329712,7.3739914894104,7.890510559082031,0.8922643661499023,0.22990140318870544,0.3775781989097595,1.079891562461853,2.5169458389282227
27,0.05046237260103226,1.7720890045166016,1.7622110843658447,1.4612040519714355,1.1756083965301514,1.3549293279647827,1.6702396869659424,7.973447322845459,1179.915283203125,2789.6494140625,2.483358383178711,1.4611166715621948,0.040110040456056595,0.06173253431916237,1.0700294971466064,4.866051197052002
28,0.05488858371973038,0.2660852074623108,0.48190128803253174,0.555955171585083,0.29383713006973267,0.4009678363800049,0.40537741780281067,1.163177490234375,310.2792663574219,431.7455749511719,9.816795349121094,0.12110605835914612,0.24796655774116516,0.7380585670471191,2.4089980125427246,4.807409286499023
29,0.007093765307217836,3.078054428100586,2.4498653411865234,2.574821710586548,2.1464381217956543,2.623136520385742,2.8121886253356934,22.820911407470703,2447.7021484375,3789.263671875,1.6161446571350098,0.05124066397547722,0.025660214945673943,0.09288877993822098,0.6340884566307068,3.214869976043701
30,0.03901270031929016,25.02955436706543,9.085623741149902,8.377405166625977,3.5170562267303467,4.086831569671631,4.501279830932617,23.446468353271484,304.2618408203125,471.8521728515625,72.22374725341797,0.1511237770318985,0.04436948150396347,0.1836717575788498,0.8471611738204956,2.0717363357543945
31,0.019713861867785454,1.461087703704834,1.2644058465957642,1.0655109882354736,1.1641533374786377,1.3082925081253052,1.151686191558838,19.368425369262695,1447.33447265625,2667.602294921875,1.6302460432052612,0.06526094675064087,0.25546127557754517,0.6984525322914124,2.9153735637664795,5.859138488769531
32,0.05097782611846924,0.10692524164915085,0.7505925893783569,0.6928234696388245,0.6009320020675659,0.8134897947311401,0.7041006684303284,3.581575632095337,580.4428100585938,879.2615966796875,5.445824146270752,0.456287145614624,0.24929748475551605,0.884672999382019,3.542316436767578,7.648922920227051
33,0.3377302587032318,0.4468329846858978,0.48792311549186707,0.5141351222991943,0.6403957009315491,0.6088800430297852,0.7875415086746216,0.407440185546875,375.69854736328125,766.3486328125,1.6469206809997559,0.3798523247241974,0.31573808193206787,0.31904685497283936,0.7083085775375366,2.1958250999450684
34,0.3265440762042999,1.6872704029083252,1.338409185409546,1.3772854804992676,0.8653624653816223,0.9938638210296631,0.9865370988845825,2.9120116233825684,660.5648193359375,1476.17822265625,7.538640022277832,0.727285623550415,0.5686730146408081,0.749840259552002,0.3619902729988098,1.7544784545898438
35,0.04115499556064606,2.1717605590820312,1.8609645366668701,1.7127306461334229,1.7695202827453613,2.092766284942627,2.2584474086761475,25.69432830810547,2251.876220703125,3795.24169921875,8.92831039428711,1.3330084085464478,0.08413573354482651,0.2352234423160553,0.9722701907157898,4.464138031005859
36,0.03184913843870163,1.4810539484024048,2.706416606903076,2.9253506660461426,2.2221295833587646,2.9752488136291504,3.12628173828125,20.06568145751953,1751.215087890625,2943.39990234375,5.955371856689453,1.7450252771377563,0.0628894716501236,0.15152817964553833,1.7301764488220215,5.826918125152588
37,0.0154510997235775,1.1754366159439087,1.8975489139556885,2.0230562686920166,1.605743169784546,1.9933764934539795,2.0989789962768555,31.166881561279297,1627.49658203125,3686.79931640625,1.9235204458236694,0.30562934279441833,0.0733717828989029,0.3338075578212738,1.6684852838516235,5.655942440032959
38,0.060518428683280945,0.08759148418903351,0.34349390864372253,0.36505475640296936,0.2525874972343445,0.30694615840911865,0.3342580795288086,1.8327035903930664,430.7773742675781,724.234375,1.1005038022994995,0.11665163189172745,0.35932594537734985,0.8399611115455627,2.318817138671875,5.514608383178711
39,0.1026640459895134,2.674069404602051,0.3768142759799957,0.37634187936782837,0.6539860963821411,0.7169707417488098,0.8814564943313599,20.979736328125,1518.90185546875,2733.62060546875,2.1353766918182373,0.13374370336532593,0.5944955945014954,1.4232709407806396,4.162267208099365,10.641036987304688
40,0.02081671915948391,1.9218928813934326,2.544312000274658,2.5533390045166016,2.012091875076294,2.1611337661743164,2.64095139503479,21.770198822021484,1218.7108154296875,2698.464111328125,4.182471752166748,0.018883489072322845,0.055377472192049026,0.18072667717933655,1.4583940505981445,5.2403082847595215
41,0.017984449863433838,9.75472640991211,4.296228885650635,4.150350570678711,2.3217780590057373,2.599785089492798,2.915320873260498,18.621593475341797,1372.2420654296875,2040.363037109375,10.309276580810547,0.015389309264719486,0.06670311838388443,0.25214651226997375,1.012209177017212,1.9005404710769653
42,0.005943410564213991,1.5262411832809448,1.4441044330596924,1.351183533668518,1.6312404870986938,1.8441202640533447,1.9319937229156494,34.76220703125,2358.947021484375,2803.8974609375,5.9471588134765625,0.09925072640180588,0.1688077747821808,0.5564935207366943,3.1554763317108154,9.320451736450195
43,0.020639842376112938,0.08319571614265442,0.9773069620132446,1.0125993490219116,0.7644603848457336,0.9646543860435486,1.136269450187683,15.602022171020508,1140.5247802734375,1933.3656005859375,1.7697759866714478,0.42750027775764465,0.22357408702373505,0.7230566143989563,2.6017558574676514,6.3082733154296875
44,0.14555761218070984,13.629712104797363,3.4883363246917725,3.28792667388916,0.7393397688865662,0.8347448110580444,0.8566493988037109,10.021568298339844,303.39593505859375,479.5731506347656,0.49372997879981995,0.2165728509426117,0.1306818276643753,0.26445960998535156,1.199939489364624,2.1953117847442627
45,0.055309854447841644,0.4939103126525879,0.3640303611755371,0.3796013295650482,0.41639816761016846,0.45947274565696716,0.5113980770111084,2.2229626178741455,411.5372619628906,758.0440063476562,3.103762626647949,0.06022311747074127,0.2634088397026062,0.6066786646842957,2.161736488342285,5.230552673339844
46,0.03826241195201874,0.26016706228256226,1.5200798511505127,1.4827892780303955,1.1408123970031738,1.463085651397705,1.622471570968628,13.048675537109375,894.75048828125,1967.9036865234375,2.9927687644958496,0.5206122994422913,0.2373816817998886,0.6966674327850342,2.982823371887207,7.171425819396973
47,0.06375386565923691,0.07802510261535645,0.23333533108234406,0.23912668228149414,0.19231700897216797,0.253753662109375,0.278329998254776,0.3076109290122986,84.32691955566406,147.44561767578125,15.478192329406738,0.7593749761581421,0.22339767217636108,0.7128846645355225,2.0220437049865723,4.290988922119141
48,0.06768210977315903,8.655655860900879,3.501304864883423,3.6366634368896484,0.5563669800758362,0.7015889883041382,0.825369119644165,5.1861891746521,636.4765014648438,1312.6234130859375,4.451963424682617,0.23720088601112366,0.08727534115314484,0.19392262399196625,0.8029963970184326,3.0417640209198
49,0.0945332869887352,0.3864707350730896,0.5667081475257874,0.5310181975364685,0.36765217781066895,0.37285006046295166,0.4677693247795105,0.8880394697189331,160.64007568359375,301.33404541015625,3.2941904067993164,0.24969713389873505,0.1794952005147934,0.39995524287223816,1.5283693075180054,4.231607913970947
50,0.01201936136931181,0.22232352197170258,1.2991368770599365,1.2271859645843506,1.2826002836227417,1.2191191911697388,1.3453338146209717,34.320640563964844,2235.4248046875,3906.97998046875,5.6987152099609375,0.15711021423339844,0.22044223546981812,0.6602857708930969,3.055833339691162,7.8788838386535645
51,0.052737779915332794,0.05984410643577576,0.5693418979644775,0.5541816353797913,0.5181746482849121,0.6187295317649841,0.5998426079750061,3.635897159576416,581.3870239257812,1321.926025390625,1.0756306648254395,0.35236355662345886,0.2963898479938507,0.8971145153045654,3.3346943855285645,7.737500190734863
52,0.029604557901620865,35.941986083984375,10.227874755859375,9.0515718460083,5.004576683044434,6.1533732414245605,6.635456562042236,27.082401275634766,432.1982421875,714.9659423828125,53.98952865600586,0.03700632229447365,0.15532243251800537,0.4760754704475403,1.4748072624206543,2.5431900024414062
53,0.007684525568038225,4.694479465484619,4.08573579788208,3.862205982208252,2.8444955348968506,3.58204984664917,3.731313705444336,19.420289993286133,1915.5863037109375,3309.076171875,7.881847381591797,0.11960757523775101,0.04389040172100067,0.12036764621734619,0.7368288040161133,1.3564915657043457
54,0.044651344418525696,12.318267822265625,4.639554500579834,4.475396156311035,1.5846246480941772,1.7241607904434204,2.041675090789795,18.81626319885254,1364.907470703125,2765.82080078125,14.599947929382324,0.17644102871418,0.036937959492206573,0.03884098678827286,0.09971297532320023,0.9790228605270386
55,0.01096565555781126,0.2718530595302582,2.4113755226135254,2.2337446212768555,2.168891429901123,2.4763338565826416,2.545825958251953,22.0302734375,1674.628662109375,2980.57568359375,3.24737548828125,0.44015997648239136,0.04613139107823372,0.1807456612586975,1.6659313440322876,5.876567840576172
56,0.012322754599153996,0.009628026746213436,1.815105676651001,1.871403694152832,1.5258837938308716,1.5814805030822754,2.0067594051361084,26.16726303100586,1553.04736328125,3198.358642578125,7.777346611022949,0.9665111303329468,0.3683129549026489,0.9822567105293274,5.098802089691162,10.93128776550293
57,0.08653180301189423,5.9378981590271,1.9220521450042725,2.027575731277466,0.2582278251647949,0.37154272198677063,0.3850659728050232,1.6860747337341309,264.90087890625,510.70037841796875,2.9924685955047607,0.5441329479217529,0.09228228032588959,0.16179046034812927,0.40935730934143066,1.515128254890442
58,0.10852644592523575,5.8311285972595215,2.6391921043395996,2.4091906547546387,0.2910490036010742,0.38087859749794006,0.41433006525039673,1.441951036453247,180.65695190429688,299.9455261230469,3.556159496307373,0.5934185981750488,0.16239376366138458,0.32285600900650024,0.4500759243965149,1.2244411706924438
59,0.0573001503944397,0.3498024642467499,2.444288730621338,2.345716953277588,2.084916353225708,2.6986758708953857,2.6268508434295654,22.52791976928711,2141.796142578125,2953.592041015625,21.493932723999023,0.06450142711400986,0.12367422878742218,0.19609972834587097,0.627355694770813,2.0003256797790527
60,0.06886064261198044,0.16741043329238892,0.7208874225616455,0.6517395377159119,0.6423775553703308,0.8456076383590698,0.7998859882354736,4.983273983001709,873.5234375,1332.506103515625,3.488783359527588,0.06681344658136368,0.25716477632522583,0.7276315093040466,2.5765950679779053,6.063388824462891
61,0.48613670468330383,4.433755874633789,0.3786798119544983,0.34970974922180176,0.4345117211341858,0.45550864934921265,0.5071849822998047,3.7959535121917725,265.9366455078125,452.38720703125,8.183662414550781,0.6280813217163086,0.8517332673072815,1.1008498668670654,1.6773039102554321,0.5967263579368591
62,0.032190289348363876,0.738901674747467,0.676882266998291,0.7732172012329102,0.5810118913650513,0.5742394924163818,0.641518235206604,11.527658462524414,943.8306274414062,1694.713134765625,5.365984916687012,0.042358264327049255,0.21105505526065826,1.0351811647415161,3.519076108932495,7.713832855224609
63,0.05392826348543167,2.482515573501587,2.4085896015167236,2.4440839290618896,2.319362163543701,2.673400402069092,3.1404452323913574,24.068389892578125,1925.7242431640625,2835.693359375,19.269147872924805,0.5620594024658203,0.16736803948879242,0.3539479970932007,0.8533778190612793,3.397775888442993
64,0.012556679546833038,2.539858341217041,4.169842720031738,4.067797660827637,3.3448264598846436,3.9602279663085938,4.392846584320068,19.174816131591797,1976.422607421875,2792.516845703125,12.260035514831543,0.016867436468601227,0.0414058081805706,0.1334463357925415,1.3058125972747803,1.9642131328582764
65,0.05169329792261124,0.22342804074287415,1.4095379114151,1.226323127746582,0.9914427995681763,1.361938238143921,1.3673102855682373,19.510467529296875,1584.787841796875,2225.65673828125,9.24272632598877,0.08724842965602875,0.06815361976623535,0.13309738039970398,0.37443873286247253,1.9295002222061157
66,0.05825547128915787,0.0739433616399765,0.5911026000976562,0.6282361745834351,0.5853607058525085,0.713341236114502,0.8054658770561218,4.24360990524292,580.7140502929688,1077.41552734375,2.50876784324646,0.18954917788505554,0.2281302660703659,0.8974186182022095,3.700563430786133,7.407885551452637
67,0.020702309906482697,8.703601837158203,4.179903507232666,3.9517998695373535,1.7940248250961304,1.9937011003494263,2.1450748443603516,20.038799285888672,1912.0291748046875,3860.712158203125,10.177939414978027,1.0861984491348267,0.0168821569532156,0.03596192225813866,0.43747732043266296,2.1470084190368652
68,0.020340487360954285,0.3245822787284851,2.7773265838623047,3.0632219314575195,2.5014734268188477,3.093440055847168,3.30564022064209,21.026655197143555,1872.6575927734375,3112.6826171875,1.9398342370986938,1.5320043563842773,0.07922528684139252,0.17577220499515533,1.0526267290115356,2.8658275604248047
