perturbation,mean,std,min,max
baseline,0.05659551217686385,0.06460441121745407,0.005778816528618336,0.34408631920814514
flip_action_x,4.044880753289908,5.6646724547876195,0.015855368226766586,26.883543014526367
scale_action_0.01x,2.654223539233208,2.0994317473172535,0.13302072882652283,9.31259822845459
scale_action_0.05x,2.578583811968565,2.0256161962399197,0.12180662155151367,9.218843460083008
scale_action_2x,17.57482284128666,10.57247216467828,0.1766306757926941,40.411468505859375
scale_action_15x,1456.4441203066706,768.0694039027751,0.23605677485466003,2672.494140625
scale_action_20x,2481.095406360328,1320.3875633575387,0.22741886973381042,4651.3994140625
random_action,8.940531254708766,8.415471140202651,0.4091215431690216,38.545135498046875
obs_gaussian_0.01,0.4170810130145401,0.4730359325075618,0.0063285925425589085,2.0569498538970947
add_0.02_all,0.14704127972945572,0.11521544198584195,0.020687811076641083,0.5034018158912659
add_0.04_all,0.3882807330042124,0.3264217057420257,0.03126133605837822,1.3364274501800537
add_0.10_all,1.5138551357015968,1.1242904916597065,0.037645649164915085,4.240707874298096
add_0.20_all,4.24769301071763,2.4772782433498377,0.24353526532649994,11.401895523071289
