perturbation,mean,std,min,max
baseline,0.07455825024750083,0.09378074468268273,0.005943410564213991,0.5309242606163025
flip_action_x,4.296557463640347,7.454735495800224,0.00854594074189663,35.941986083984375
scale_action_0.01x,2.3175828361511233,2.2082599834616814,0.1663578301668167,10.227874755859375
scale_action_0.05x,2.2392016726732256,2.1167553060228332,0.15311199426651,9.34306812286377
scale_action_y_0.25x,1.3991339235007763,0.9657920925529367,0.14590740203857422,5.004576683044434
scale_action_y_0.1x,1.6227346973121166,1.1474655475437467,0.12974365055561066,6.1533732414245605
zero_action_y,1.768236375749111,1.2541742383631833,0.14929266273975372,6.635456562042236
scale_action_2x,15.088883950263261,10.453780329167502,0.12866736948490143,36.9534912109375
scale_action_15x,1224.9556089234352,796.3031344846668,3.059206247329712,2843.529296875
scale_action_20x,2046.0799651002883,1264.9447166670736,7.3739914894104,4215.8984375
random_action,8.645772800743579,10.35197527575282,0.3160216808319092,72.22374725341797
obs_gaussian_0.01,0.43973402900621295,0.48942763109582105,0.01482111681252718,2.386385440826416
add_0.02_all,0.17917480673640968,0.14990442761190204,0.01131373643875122,0.8517332673072815
add_0.04_all,0.4356940662488341,0.33331387416738223,0.03596192225813866,1.4232709407806396
add_0.10_all,1.6461176428943873,1.1084861720857382,0.09971297532320023,5.098802089691162
add_0.20_all,4.413940199017524,2.6705594913024018,0.5351887345314026,10.93128776550293
