file,episode_in_file,start_row,end_row,n_rows,state,finished,closest_goal,closest_dist,dist_target,dist_target2,final_block_x,final_block_y,final_ee_x,final_ee_y
20230131-081614-768547.csv,0,0,9999,10000,NotDone,False,target,0.5371555090524937,0.5371555090524937,0.5600203218682726,0.0627168,-0.53586006,0.00066170545,-0.7480884
20230131-081747-340604.csv,0,0,9999,10000,NotDone,False,target,0.645304167828743,0.645304167828743,0.6547975719389516,0.030855978,-0.6415891,0.041869514,-0.6666246
20230131-081922-380224.csv,0,0,9999,10000,NotDone,False,target2,0.19269759747660134,0.2652634058313628,0.19269759747660134,-0.083080776,-0.19195339,-0.088013515,-0.22334106
20230131-082101-339200.csv,0,0,9999,10000,NotDone,False,target2,0.3463215872833851,0.35375750143068807,0.3463215872833851,-0.01301432,-0.33521953,-0.012693083,-0.35376102
20230131-082234-961405.csv,0,0,9999,10000,NotDone,False,target2,0.16228309477551875,0.25133014711713353,0.16228309477551875,-0.0920776,-0.1620896,-0.06693513,-0.2120328
20230131-082411-712729.csv,0,0,9999,10000,NotDone,False,target,0.43157892716498847,0.43157892716498847,0.45967630825710654,0.062604845,-0.42995578,0.08276469,-0.49589765
20230131-082546-664112.csv,0,0,9999,10000,NotDone,False,target2,0.5198083456808088,0.5325300031354283,0.5198083456808088,-0.03346872,-0.51553303,0.040381856,-0.5863705
20230131-082723-663619.csv,0,0,9999,10000,NotDone,False,target2,0.41281170947524676,0.45298350685193334,0.41281170947524676,-0.086951375,-0.41260543,-0.030712403,-0.6726709
20230131-082853-294879.csv,0,0,9999,10000,NotDone,False,target2,0.36667097737236176,0.40981169779205057,0.36667097737236176,-0.083745055,-0.3663105,-0.066607304,-0.47571972
20230131-083025-335854.csv,0,0,9999,10000,NotDone,False,target2,0.24075991982298256,0.3226649416859058,0.24075991982298256,-0.115368314,-0.24026892,-0.0607228,-0.29137585
20230131-083159-830700.csv,0,0,9999,10000,NotDone,False,target2,0.3318504857636671,0.39409218832854553,0.3318504857636671,-0.11295977,-0.33159733,-0.07738432,-0.42659682
20230131-083331-335475.csv,0,0,9999,10000,NotDone,False,target,0.6244401642760242,0.6244401642760242,0.6368109254410355,0.03900659,-0.6214542,0.028334636,-0.6649162
20230131-083505-268470.csv,0,0,9999,10000,NotDone,False,target2,0.04787175754059223,0.21541697512040514,0.04787175754059223,-0.11028192,-0.046754543,-0.11864847,-0.12318017
20230131-083638-062404.csv,0,0,9999,10000,NotDone,False,target2,0.3411544528618819,0.3688747113960104,0.3411544528618819,-0.04920548,-0.33735186,-0.031115903,-0.39254755
20230131-083808-220091.csv,0,0,9999,10000,NotDone,False,target,0.5559269782320309,0.5559269782320309,0.5755176448434896,0.055414386,-0.5541362,0.07237222,-0.5795192
20230131-083946-079217.csv,0,0,9999,10000,NotDone,False,target2,0.36022009917988324,0.39875492705816806,0.36022009917988324,-0.07311743,-0.3592156,-0.05020913,-0.47351798
20230131-084118-306954.csv,0,0,9999,10000,NotDone,False,target,0.5052971292310001,0.5052971292310001,0.5418607466952096,0.0957197,-0.505279,0.11840472,-0.5907583
20230131-084244-463043.csv,0,0,9999,10000,NotDone,False,target2,0.1300482817389161,0.22764608404987885,0.1300482817389161,-0.08727546,-0.12942427,-0.047894686,-0.22439636
20230131-084419-388612.csv,0,0,9999,10000,NotDone,False,target2,0.6101013486502775,0.6174679405644373,0.6101013486502775,-0.022607505,-0.60517275,0.00066170545,-0.7480884
20230131-084551-906961.csv,0,0,9999,10000,NotDone,False,target,0.34313362402649056,0.34313362402649056,0.34652143416757497,0.005841051,-0.32996178,0.033865906,-0.39925152
20230131-084724-001731.csv,0,0,9999,10000,NotDone,False,target2,0.6390543100748783,0.6425659695512039,0.6390543100748783,-0.011251535,-0.63286185,-0.0069610486,-0.66210556
20230131-084902-572602.csv,0,0,9999,10000,NotDone,False,target2,0.5742219231333979,0.6071540162158346,0.5742219231333979,-0.097262956,-0.5742154,-0.07687779,-0.6934019
20230131-085038-615084.csv,0,0,9999,10000,NotDone,False,target2,0.36739786458845686,0.41039861952028794,0.36739786458845686,-0.08361459,-0.3670323,-0.08190199,-0.40613806
20230131-085212-955833.csv,0,0,9999,10000,NotDone,False,target2,0.37166400342710426,0.3804742391325102,0.37166400342710426,-0.016566288,-0.36217806,0.023458878,-0.47417217
20230131-085342-880442.csv,0,0,9999,10000,NotDone,False,target2,0.07382429434747954,0.2341065535945188,0.07382429434747954,-0.12338963,-0.07002108,-0.12513143,-0.11128589
20230131-085519-223294.csv,0,0,9999,10000,NotDone,False,target2,0.1267709210970769,0.24211513466902745,0.1267709210970769,-0.10637218,-0.12661067,-0.10095017,-0.22582954
20230131-085652-863300.csv,0,0,9999,10000,NotDone,False,target2,0.35594786597844014,0.36849238213917745,0.35594786597844014,-0.022719381,-0.34745732,-0.007845313,-0.3844121
20230131-085832-123594.csv,0,0,9999,10000,NotDone,False,target2,0.6195051945914607,0.6372820899145084,0.6195051945914607,-0.05585444,-0.6179303,0.00066170545,-0.7480884
20230131-090009-182363.csv,0,0,9999,10000,NotDone,False,target2,0.073466422124214,0.19864503814526355,0.073466422124214,-0.08515634,-0.07195124,-0.08330692,-0.11388646
20230131-090144-902141.csv,0,0,9999,10000,NotDone,False,target2,0.3965750348609464,0.4330195680046814,0.3965750348609464,-0.07558547,-0.3958228,-0.07364026,-0.49310875
20230131-090325-011211.csv,0,0,9999,10000,NotDone,False,target2,0.1860584014940954,0.26228509825481505,0.1860584014940954,-0.08543936,-0.18548778,-0.06200754,-0.2924364
20230131-090456-727364.csv,0,0,9999,10000,NotDone,False,target,0.41039061567460583,0.41039061567460583,0.4307872739923755,0.042893045,-0.4063979,0.06304737,-0.49687976
20230131-090630-247510.csv,0,0,9999,10000,NotDone,False,target2,0.1396119557422347,0.2332934679457865,0.1396119557422347,-0.08733586,-0.13903639,-0.085234664,-0.18982571
20230131-090807-656806.csv,0,0,9999,10000,NotDone,False,target2,0.5386354699943203,0.5577251333192743,0.5386354699943203,-0.052322887,-0.53652126,-0.043197207,-0.56710297
20230131-090943-669105.csv,0,0,9999,10000,NotDone,False,target2,0.21167484818324858,0.2596773231404724,0.21167484818324858,-0.056565177,-0.2071706,-0.0072986973,-0.30135545
20230131-091120-154233.csv,0,0,9999,10000,NotDone,False,target2,0.1865266741627744,0.22596882124360831,0.1865266741627744,-0.04067427,-0.17684077,0.005497409,-0.24744503
20230131-091304-580664.csv,0,0,9999,10000,NotDone,False,target2,0.255616722836943,0.31709888835172306,0.255616722836943,-0.08802949,-0.25533628,-0.09945148,-0.35336262
