action_0,action_1,action_2,action_3,action_4
0.02963986061513424,0.005930399056524038,0.09795863926410675,0.07740499824285507,0.018633587285876274
0.025645654648542404,0.030795082449913025,0.03911620005965233,0.01683555170893669,0.014006543904542923
0.0807449221611023,0.02236018516123295,0.01994430646300316,0.05144765228033066,0.04298268258571625
0.03007587045431137,0.09079597890377045,0.04450705274939537,0.022440684959292412,0.17606794834136963
0.0169401615858078,0.10334166884422302,0.015203606337308884,0.015352925285696983,0.010329275391995907
0.0568961575627327,0.04836951568722725,0.0964890569448471,0.05371109023690224,0.09756635129451752
0.12419739365577698,0.06887717545032501,0.06424218416213989,0.04807431995868683,0.02054484933614731
0.06671552360057831,0.03515578433871269,0.09382649511098862,0.03470500186085701,0.03145218640565872
0.012347125448286533,0.03898164629936218,0.04990234598517418,0.04739566892385483,0.01119945663958788
0.043457064777612686,0.02430715598165989,0.010482138022780418,0.08341801911592484,0.01201209519058466
0.08714944869279861,0.05520325526595116,0.043708350509405136,0.06360036134719849,0.03598511964082718
0.047148607671260834,0.02467476576566696,0.3065170645713806,0.05014843866229057,0.054031211882829666
0.11456413567066193,0.031204022467136383,0.027129661291837692,0.06719771772623062,0.13194243609905243
0.064543716609478,0.010618201456964016,0.03811157867312431,0.06707078963518143,0.18248091638088226
0.06761341542005539,0.06606084853410721,0.049768634140491486,0.018972055986523628,0.05266210436820984
0.1943751573562622,0.36481472849845886,0.05314604192972183,0.048032935708761215,0.05167772248387337
0.06766210496425629,0.015581735409796238,0.007482205983251333,0.01726200431585312,0.034295808523893356
0.19972378015518188,0.03790140897035599,0.023512020707130432,0.1767226606607437,0.04581627994775772
0.019619930535554886,0.023170409724116325,0.1379728466272354,0.030532417818903923,0.047220826148986816
0.015177056193351746,0.02099124900996685,0.06066408008337021,0.10825274139642715,0.00634103873744607
0.04073871672153473,0.03145245462656021,0.021849721670150757,0.04526085779070854,0.052741728723049164
0.010578799992799759,0.032021038234233856,0.05137832462787628,0.03052143193781376,0.023621413856744766
0.03281228989362717,0.13033178448677063,0.057162877172231674,0.08091513812541962,0.02296958863735199
0.11127781867980957,0.19071152806282043,0.1648784577846527,0.06831394135951996,0.11519588530063629
0.08947233110666275,0.09344315528869629,0.0680655688047409,0.09612537920475006,0.09968112409114838
0.11755188554525375,0.04663286358118057,0.09661683440208435,0.10336301475763321,0.14576378464698792
0.04287213087081909,0.011676337569952011,0.15743057429790497,0.019919924437999725,0.015337047167122364
0.03340320289134979,0.01951001025736332,0.054042451083660126,0.11640673130750656,0.01460099034011364
0.013011261820793152,0.03145509958267212,0.02691877819597721,0.04221237823367119,0.012572710402309895
0.02539576217532158,0.015516801737248898,0.026712730526924133,0.040673885494470596,0.009302809834480286
0.053851038217544556,0.11481612920761108,0.07050979882478714,0.08392788469791412,0.0444878488779068
0.07351594418287277,0.017062930390238762,0.05566977709531784,0.03864901140332222,0.03767235204577446
0.025775596499443054,0.03913881629705429,0.10966622829437256,0.039252884685993195,0.04399366304278374
0.04395227134227753,0.07074306905269623,0.14514365792274475,0.041504114866256714,0.07327215373516083
0.03856252133846283,0.012994523160159588,0.07396250218153,0.07812745869159698,0.023839347064495087
0.06069929897785187,0.10067718476057053,0.03064793534576893,0.009879418648779392,0.00716409832239151
0.026568669825792313,0.0716654434800148,0.13328376412391663,0.04606299102306366,0.18280287086963654
0.030707543715834618,0.03494961932301521,0.015624594874680042,0.012682721950113773,0.03156011551618576
0.00490601034834981,0.14116394519805908,0.1413440853357315,0.014789603650569916,0.055683866143226624
0.07927313446998596,0.23690156638622284,0.06291388720273972,0.051254600286483765,0.1785612404346466
0.04886828362941742,0.01437648106366396,0.026271020993590355,0.013011655770242214,0.020901024341583252
0.022417837753891945,0.2512325644493103,0.15331539511680603,0.042191337794065475,0.13700571656227112
0.047357115894556046,0.050235550850629807,0.03988730534911156,0.022479865700006485,0.1784839630126953
0.013625022955238819,0.059288181364536285,0.05923256650567055,0.03730066120624542,0.033411890268325806
0.008873880840837955,0.010902570560574532,0.008869130164384842,0.0870075523853302,0.009556279517710209
0.009825347922742367,0.012758210301399231,0.017645344138145447,0.005770586431026459,0.048295021057128906
0.010847213678061962,0.01866935007274151,0.05915425345301628,0.01650642603635788,0.19628897309303284
0.17152535915374756,0.049126237630844116,0.017348479479551315,0.021385449916124344,0.02920861914753914
0.03988027572631836,0.028052814304828644,0.05381856858730316,0.03606364503502846,0.09806141257286072
0.04148508608341217,0.11135916411876678,0.05021025985479355,0.0753444954752922,0.04908038675785065
0.22717086970806122,0.05262765288352966,0.07305712252855301,0.053321126848459244,0.12901194393634796
0.01841971091926098,0.020646242424845695,0.016611507162451744,0.09145202487707138,0.14393897354602814
0.012907776050269604,0.16118769347667694,0.01745273917913437,0.0868234932422638,0.03644609823822975
0.0602395236492157,0.013489220291376114,0.16382496058940887,0.06651481986045837,0.03731479123234749
0.01753690466284752,0.08100032061338425,0.026402169838547707,0.0340108685195446,0.15102456510066986
