action_0,action_1,action_2,action_3,action_4
0.0351409874856472,0.05545778200030327,0.07746568322181702,0.10131572186946869,0.046394526958465576
0.061493128538131714,0.047017499804496765,0.1410101056098938,0.060319069772958755,0.06192376837134361
0.1607031524181366,0.08283941447734833,0.13228775560855865,0.15126724541187286,0.19511958956718445
0.14152473211288452,0.157047837972641,0.1691809594631195,0.2149864137172699,0.1567978709936142
0.24541251361370087,0.1966058760881424,0.3088449239730835,0.2299298346042633,0.22101454436779022
0.3080454468727112,0.2532879114151001,0.22085103392601013,0.2637745440006256,0.26389095187187195
0.4419757127761841,0.3704819679260254,0.4306274354457855,0.4066435694694519,0.4391303062438965
0.29489636421203613,0.3631986975669861,0.45768359303474426,0.3092744052410126,0.47149592638015747
0.03106863796710968,0.039354972541332245,0.05671733245253563,0.12044762074947357,0.036007873713970184
0.09431219100952148,0.1076328456401825,0.04649142920970917,0.07599979639053345,0.041214678436517715
0.2832561731338501,0.09802970290184021,0.1710737943649292,0.08519735187292099,0.11332419514656067
0.20406320691108704,0.13222497701644897,0.1565629243850708,0.19166462123394012,0.15421418845653534
0.3481343388557434,0.3270462155342102,0.35076579451560974,0.30286961793899536,0.3037116229534149
0.3129083514213562,0.24722479283809662,0.21924397349357605,0.2719351053237915,0.2590075433254242
0.3006398379802704,0.24517232179641724,0.2603663504123688,0.2992739677429199,0.28517386317253113
0.30546218156814575,0.2978196144104004,0.4751320481300354,0.22864742577075958,0.25336265563964844
0.06176198646426201,0.04576658457517624,0.024768708273768425,0.03334375098347664,0.07611460983753204
0.1561572253704071,0.08463094383478165,0.03765435144305229,0.12406611442565918,0.08376780897378922
0.075749970972538,0.062628373503685,0.12046182155609131,0.06285194307565689,0.08698789030313492
0.1270514279603958,0.1367029845714569,0.11191514134407043,0.31743305921554565,0.17497096955776215
0.19910220801830292,0.15408912301063538,0.14583206176757812,0.19549162685871124,0.26396727561950684
0.2978613078594208,0.2325184941291809,0.4386920630931854,0.2597009837627411,0.27024248242378235
0.33969050645828247,0.2792503237724304,0.33580482006073,0.3174154758453369,0.31466856598854065
