st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
0.09276922,-0.4561631,2.8203695,-0.00066170545,-0.7480884,0.0,-0.75,0.485651,0.80609685,0.0
0.09276876,-0.45616361,2.820368,0.044586826,-0.6755305,0.048565097,-0.6693903,0.1610292,0.8386082,0.0
0.09276845,-0.45616385,2.8203657,0.063543916,-0.59254545,0.06466802,-0.5855295,0.20078792,0.92548966,0.0
0.09276813,-0.45616424,2.8203654,0.08343121,-0.5010111,0.084746815,-0.4929805,-0.078503884,0.9527084,0.0
0.106636286,-0.32555118,1.7131631,0.0781894,-0.40595353,0.07689642,-0.39770967,0.43312114,0.76953566,0.0
0.1020959,-0.26550886,0.6724551,0.11637247,-0.32836446,0.12020855,-0.3207561,-0.18012549,0.7871624,0.0
0.08966644,-0.21136613,0.81333196,0.10365717,-0.24922077,0.102196,-0.24203986,-0.019042052,0.6620474,0.0
0.0798492,-0.13900729,1.7052424,0.100472964,-0.1822269,0.100291796,-0.17583513,-0.42352724,-0.13435785,0.0
0.083569005,-0.12888722,2.0385876,0.061784748,-0.18817846,0.05793907,-0.18927091,0.34604955,0.7048074,0.0
0.10682444,-0.07702587,2.0454354,0.08955697,-0.12532824,0.092544034,-0.11879017,0.26290047,0.18621391,0.0
0.10939584,-0.07196731,2.0237904,0.11550742,-0.10246682,0.11883408,-0.10016877,-0.10357429,0.41304174,0.0
-0.049996465,-0.41808456,2.1331842,-0.00066170545,-0.7480884,0.0,-0.75,-0.62866473,0.9287651,0.0
-0.04999791,-0.41808477,2.1331756,-0.055743236,-0.6648513,-0.06286648,-0.6571235,-0.19989978,0.83560336,0.0
-0.04999852,-0.4180846,2.133165,-0.07921179,-0.5804924,-0.08285646,-0.57356316,0.16661519,0.8431626,0.0
-0.04999935,-0.41808486,2.133161,-0.06666661,-0.49638823,-0.06619494,-0.4892469,0.1476214,0.8984238,0.0
-0.037811756,-0.34972307,1.977857,-0.052782975,-0.40748647,-0.051432796,-0.39940453,0.25517988,0.9030428,0.0
-0.012281335,-0.2586045,1.923634,-0.027981538,-0.31856337,-0.025914803,-0.30910024,0.24239758,0.87331516,0.0
0.0073092575,-0.18304549,1.8503532,-0.0033235794,-0.2308193,-0.001675047,-0.22176872,0.44032922,0.8127909,0.0
0.044190496,-0.099734396,2.5503418,0.038649216,-0.14911008,0.042357877,-0.14048964,0.2822861,0.5784992,0.0
