st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
0.07873299,-0.26137006,1.7334037,0.07493126,-0.28908294,0.07615304,-0.28017178,0.020448368,0.73111415,0.0
0.09516902,-0.12853019,1.4593955,0.07801679,-0.21423508,0.078197874,-0.20706037,0.28422013,0.8704377,0.0
0.096501544,-0.0914101,1.2185338,0.10412768,-0.12885559,0.10661988,-0.1200166,-0.007699382,0.5052881,0.0
-0.07660807,-0.46001634,2.7905416,-0.00066170545,-0.7480884,0.0,-0.75,-0.6553369,0.8765789,0.0
-0.0766089,-0.46001732,2.7905397,-0.058283005,-0.6696584,-0.0655337,-0.66234213,-0.36443713,0.8555506,0.0
-0.07660923,-0.46001753,2.7905374,-0.09675892,-0.5839139,-0.10197741,-0.57678705,-0.003370898,0.8138097,0.0
-0.07660951,-0.4600179,2.790537,-0.100775205,-0.5017485,-0.102314495,-0.4954061,0.57675743,0.95945233,0.0
-0.0048761913,-0.3283045,-3.0333042,-0.050491776,-0.40912125,-0.044638753,-0.39946085,0.60448587,0.96390045,0.0
0.038784523,-0.26204908,-2.6457226,0.010760701,-0.31345847,0.015809841,-0.30307078,0.2782463,0.9003608,0.0
0.08546974,-0.16322912,-3.1186042,0.04128099,-0.22241592,0.043634474,-0.2130347,0.5243705,0.5728356,0.0
0.09571592,-0.12567307,2.7141056,0.09097026,-0.16196594,0.09607152,-0.15575114,-0.017192531,0.55762887,0.0
0.10226659,-0.05268789,2.7196476,0.09380647,-0.10561446,0.09435227,-0.09998824,0.019075047,0.464592,0.0
0.0827589,-0.52346814,2.1837406,-0.00066170545,-0.7480884,0.0,-0.75,0.564012,0.8032022,0.0
0.082757585,-0.52346826,2.1837301,0.051635526,-0.67584735,0.0564012,-0.66967976,0.19557169,0.92991894,0.0
0.08275651,-0.5234686,2.183727,0.07457665,-0.58455896,0.07595836,-0.5766879,0.06489789,0.9473835,0.0
0.09107922,-0.40666768,2.0630293,0.08248005,-0.49010995,0.082448155,-0.48194954,0.060570348,0.9433701,0.0
0.09351694,-0.35671076,1.9149059,0.088493906,-0.39600962,0.08850519,-0.38761252,-0.07795448,0.929683,0.0
0.09493356,-0.20082974,1.3148658,0.081901446,-0.30306756,0.08070975,-0.29464424,0.19452478,0.92064095,0.0
0.09411373,-0.1297643,0.9605111,0.09877173,-0.21168767,0.10016222,-0.20258014,-0.10005948,0.7810854,0.0
0.10614594,-0.089471035,-2.1820292,0.09102829,-0.13220564,0.09015627,-0.1244716,0.17311375,0.38370523,0.0
0.11889823,-0.06542009,-2.337951,0.10544757,-0.09034336,0.107467644,-0.08610107,0.049633797,0.107438624,0.0
0.12558076,-0.05234327,-2.383362,0.11118847,-0.07673545,0.11243102,-0.07535721,0.028523946,0.04171616,0.0
0.12855996,-0.047351725,-2.3785598,0.114314064,-0.07172273,0.115283415,-0.071185604,-0.004926567,0.046028513,0.0
0.12982455,-0.043622702,-2.442506,0.11417441,-0.06708546,0.11479076,-0.066582754,-0.009352575,0.01907361,0.0
0.13002926,-0.042272072,-2.4915352,0.11333103,-0.06492615,0.1138555,-0.06467539,-0.0043166457,0.03351877,0.0
0.1308751,-0.040038854,-2.5533588,0.11285075,-0.061698034,0.11342384,-0.06132351,-0.010755825,0.09329807,0.0
0.13307865,-0.034662608,-2.7220178,0.11180106,-0.052955706,0.11234826,-0.051993698,-0.04551844,0.0026571613,0.0
0.12847628,-0.036924038,-2.6733057,0.10766009,-0.051871262,0.107796416,-0.05172798,-0.00218628,0.012018661,0.0
0.12830609,-0.03642567,-2.723058,0.107047535,-0.050714895,0.107577786,-0.050526112,-0.0021929557,-0.012655871,0.0
0.12778649,-0.036665957,-2.7242033,0.10680896,-0.05175387,0.107358485,-0.051791698,-0.002435724,0.0024680668,0.0
0.1276375,-0.0366846,-2.7215116,0.10655978,-0.051628824,0.10711491,-0.05154489,-0.00022016466,0.002096434,0.0
0.1276255,-0.036465608,-2.7264774,0.10651465,-0.05142792,0.107092895,-0.051335245,-0.00056736165,-0.00071895856,0.0
0.12756489,-0.036442492,-2.7283437,0.10646127,-0.051474076,0.10703616,-0.051407143,-0.00049440557,-0.00023327023,0.0
0.12751023,-0.036412545,-2.7293913,0.10641158,-0.051499713,0.10698672,-0.05143047,-0.00032250583,0.00013633817,0.0
0.12747581,-0.03636227,-2.7296386,0.106377535,-0.05148988,0.10695446,-0.051416837,-0.00017850101,0.00029136986,0.0
0.12744428,-0.036260832,-2.730123,0.10635802,-0.05146275,0.10693661,-0.051387705,-0.0002079457,0.00035204738,0.0
0.1274134,-0.03615319,-2.7332501,0.106337376,-0.05142841,0.10691582,-0.0513525,-0.0004843324,-0.00035811213,0.0
