ep,which_goal,steps_accum,reward,loss,diff,raw_input_action_x,raw_input_action_y,assisted_action_x,assisted_action_y,gamma
1,,1,2.917337583086801,0.7410743832588196,1.0146493,0.0,0.0,-0.5069063,0.87895346,0.6
1,,2,5.981803300370556,1.0941182374954224,0.84404397,0.0,0.0,-0.016663037,0.84387946,0.6
1,,3,12.813534683408243,1.2646605968475342,0.9712425,0.0,0.0,0.28527594,0.92840165,0.6
1,,4,47.329290667145095,1.2904919385910034,1.006704,0.0,0.0,0.35580623,0.9417297,0.6
1,,5,65.9087612390318,1.1306424140930176,1.0799568,0.0,0.0,0.619732,0.88444275,0.6
1,,6,74.27018497980713,0.6619923114776611,0.897228,0.0,0.0,0.41215968,0.79695827,0.6
1,,7,89.39344994795324,0.7112963199615479,0.6739623,0.0,0.0,-0.08768691,0.66823363,0.6
1,,8,98.24792745421111,1.0199244022369385,0.75745296,0.0,0.0,-0.062083263,0.7549044,0.6
1,,9,100.10215445647745,1.599881887435913,0.13129976,0.0,0.0,-0.064719126,0.11424124,0.6
1,,10,100.21614976555472,0.23252171277999878,0.12322833,0.0,0.0,-0.08141054,-0.09250699,0.6
1,,11,100.01475891086879,0.6664875745773315,0.27599105,0.0,0.0,0.23995365,-0.13635726,0.6
1,,12,100.21199631935875,0.8438906669616699,0.20232007,0.0,0.0,-0.16890417,-0.11137678,0.6
1,,13,100.21698667346037,0.7404621243476868,0.048413448,0.0,0.0,0.004337119,-0.048218787,0.6
1,,14,100.36219334372646,0.3754485845565796,0.03193772,0.0,0.0,-0.026580699,0.017705485,0.6
1,,15,100.41112580964578,0.5602495074272156,0.08311728,0.0,0.0,-0.03500805,-0.07538513,0.6
1,,16,103.73459588223778,1.2836461067199707,0.3190527,-0.12692648,0.0,-0.02752791,0.3031741,0.6
1,,17,103.62943602532633,1.2199838161468506,0.37771985,-0.0,0.0,0.0006371774,-0.3777193,0.6
1,,18,106.57181342978119,0.5024520754814148,0.31092763,-0.0,0.0,-0.120059565,0.286813,0.6
1,,19,106.53296224483577,0.5503724813461304,0.3199909,-0.0,0.0,-0.02503886,-0.31900978,0.6
1,,20,107.9785422675857,0.36574459075927734,0.16551752,-0.0,0.0,-0.022795118,0.16394034,0.6
1,,21,108.68516339613177,0.5972011089324951,0.56600624,-0.5424055,0.0,0.022176526,0.040127724,0.6
1,,22,109.77629273212082,0.7496974468231201,1.0704979,-0.0,-1.0000305,0.043523476,0.06958218,0.6
1,,23,109.6547214225793,1.672917366027832,0.765689,-0.0,-1.0000305,0.13789803,-0.24686131,0.6
1,,24,111.44369669190588,0.6542656421661377,1.1676971,-0.0,-1.0000305,0.011604879,0.16760881,0.6
1,,25,111.30092499172795,0.66757732629776,0.7426176,-0.0,-1.0000305,-0.22744538,-0.29310086,0.6
1,,26,111.44397797633202,0.8223769664764404,1.0463005,-0.0,-1.0000305,-0.051182106,0.045017455,0.6
1,,27,114.35276837786073,1.3835071325302124,1.242292,-0.0,-1.0000305,0.02722208,0.24196328,0.6
1,,28,114.13204201406519,1.0448628664016724,1.2954142,-0.0,1.0,-0.09379728,-0.29201397,0.6
1,,29,116.32570120516833,3.208975076675415,0.74412125,-0.0,1.0,0.0017403141,0.25588077,0.6
1,,30,116.39810554958754,0.8239789009094238,1.1640226,-0.0,1.0,0.041040037,-0.16329885,0.6
1,,31,117.63713939656996,1.147390365600586,1.4464926,0.96063113,-1.0000305,0.03873174,0.114618406,0.6
1,,32,117.92059567938293,0.6885685920715332,1.413641,1.0000305,-1.0000305,0.007955659,0.0070286784,0.6
1,,33,117.71986951519897,0.8995761871337891,1.6708219,1.0000305,1.0,-0.09267391,-0.26397902,0.6
1,,34,121.1939482451001,0.8382067084312439,1.2986635,-0.0,-1.0000305,0.14748764,0.2902308,0.6
1,,35,121.04833732829535,0.25474295020103455,1.1280006,-1.0,-1.0000305,-0.066540524,-0.36675426,0.6
1,,36,121.09175410194138,2.3125534057617188,0.8917798,-0.0,-1.0000305,-0.06710806,-0.11077932,0.6
1,,37,118.67508673531286,1.7206342220306396,2.0415452,1.0000305,1.0,-0.15074562,-0.686304,0.6
1,,38,125.46922937275006,1.79838228225708,1.9203664,-0.0,-1.0000305,0.27474427,0.90058064,0.6
1,,39,130.49419038667344,0.9265329837799072,1.3458843,-0.0,-1.0000305,-0.014316129,0.34577763,0.6
1,,40,130.36346295687372,1.9823460578918457,0.8524541,-0.0,-1.0000305,0.024776516,-0.14793654,0.6
1,,41,132.5797300593219,1.1589148044586182,1.1824886,-0.0,-1.0000305,-0.0003720182,0.18245795,0.6
1,,42,132.48356789778757,0.46825796365737915,1.6775715,1.0000305,1.0,-0.060247783,-0.30002156,0.6
1,,43,134.8016466199892,0.7044442296028137,1.2134305,-0.0,-1.0000305,0.10066191,0.20921755,0.6
1,,44,135.1416086517765,1.8417983055114746,0.99917346,-0.0,-1.0000305,0.002809655,-0.0008609947,0.6
1,,45,134.99823409486697,0.6270760297775269,0.86231637,0.23938718,-1.0000305,-0.019840468,-0.17760088,0.6
1,,46,138.19023493330312,1.0351510047912598,0.9108651,0.9535508,0.50144964,0.06992347,0.28036597,0.6
1,,47,138.3185578239611,0.8592568039894104,1.2395133,0.8992889,-0.77520066,-0.088495836,-0.026418686,0.6
1,,48,138.6333958257316,3.8127636909484863,1.0912937,0.99218726,0.6265755,0.05970656,0.059652507,0.6
1,,49,138.7835654294318,0.6525514721870422,0.6817519,-0.0,-1.0000305,-0.12671411,-0.33015803,0.6
1,,50,138.72738331876144,1.4805816411972046,0.74818903,-0.0,-1.0000305,-0.060814045,-0.2543171,0.6
1,,51,138.62207440274045,0.43145275115966797,0.46164578,-0.0,-0.5484176,0.06737148,-0.091714315,0.6
1,,52,143.49628404602103,2.4769794940948486,0.89818525,0.9690237,0.29227576,0.08409828,0.4460408,0.6
1,,53,143.31696598420538,1.6913312673568726,0.79459816,0.32508317,-1.0000305,-0.37812564,-0.6300526,0.6
1,,54,154.78515013301472,0.8731923699378967,1.5913926,-0.0,-1.0000305,0.11623224,0.58711165,0.6
1,,55,154.35664887974355,1.7126246690750122,1.0471281,-0.0,-1.0000305,0.4456735,-0.052479826,0.6
1,,56,154.23637585379203,1.5974359512329102,0.8909083,-0.0,-1.0000305,-0.3900828,-0.19906041,0.6
1,,57,158.38240251816265,0.8547201156616211,1.6417304,-0.0,-1.0000305,0.14320272,0.6354424,0.6
1,,58,158.4625586450325,1.7428004741668701,0.7517393,-0.0,-1.0000305,-0.35133553,-0.33544382,0.6
1,,59,169.34229841087725,2.4933040142059326,2.05181,-1.0,-1.0000305,0.32594436,0.5657908,0.6
1,,60,169.29315814563958,0.5606740117073059,0.8696326,-0.25647756,-1.0000305,-0.060478993,-0.15277295,0.6
1,,61,169.87547381158097,2.343341827392578,1.1959258,-0.0,-1.0000305,0.1021371,0.19152582,0.6
1,1.0,62,370.29322668266786,0.7262757420539856,1.3422729,-0.0,-1.0000305,0.16106153,0.33254427,0.6
2,,1,7.096629281398274,0.7089784145355225,1.9878147,-0.0,-1.0000305,-0.7530262,0.83963215,0.6
2,,2,22.572992560541365,0.7494337558746338,2.0133696,-0.0,-1.0000305,0.6406801,0.9086825,0.6
2,,3,31.543317837130953,0.1988697648048401,1.3583617,-0.0,-1.0000305,0.9183662,0.0008441508,0.6
2,,4,37.36606201184845,0.9370226263999939,0.7101338,0.393231,0.5112461,1.040768,0.21972282,0.6
2,,5,45.094764630714124,1.5996646881103516,1.9013927,-0.0,-1.0000305,0.17544349,0.8932507,0.6
2,,6,66.29700616973649,0.7276175022125244,2.3686805,-0.0,-1.0000305,-1.139767,1.0764036,0.6
2,,7,76.97984504529695,0.8994221091270447,1.8973194,-0.0,-1.0000305,-0.15843944,0.890662,0.6
2,,8,85.48427457639698,1.8677499294281006,2.3707652,0.7203589,-1.0000305,-0.68992025,0.9056557,0.6
2,,9,86.52213814169338,0.9393334984779358,1.8220066,0.36564225,-1.0000305,-0.2784403,0.7043361,0.6
2,0.0,10,91.95288133541439,0.8243005871772766,1.9795357,0.30878627,-1.0000305,-0.5391972,0.7886801,0.6
3,,1,5.7601997581681585,0.9432445168495178,2.1046214,-0.0,-1.0000305,-0.83339036,0.93255633,0.6
3,,2,24.76536573960019,0.7139112949371338,1.9957551,-0.0,-1.0000305,0.17148194,0.9883438,0.6
3,,3,36.38893558091634,1.0766756534576416,2.0170882,0.6865444,-1.0000305,0.17942104,0.95226836,0.6
3,,4,53.807076063575664,0.4319497048854828,1.982362,0.2469863,-1.0000305,0.39810884,0.9765627,0.6
3,,5,68.32913729121438,0.498611181974411,2.326595,0.85476243,-1.0000305,-0.4291929,0.9402023,0.6
3,,6,81.21447687168332,2.369922161102295,1.9433991,-0.0,-1.0000305,0.418567,0.8977581,0.6
3,,7,87.31366913346196,0.7534911036491394,2.2446182,1.0000305,-1.0000305,-0.46670035,0.6990902,0.6
3,,8,86.68131024089405,0.6846362948417664,0.71730393,0.9998169,-1.0000305,0.40249914,-0.60287,0.6
3,,9,90.08248334738826,0.5956117510795593,1.5283096,-0.0,-1.0000305,-0.28076017,0.50226897,0.6
3,,10,98.20135103261966,0.9188514351844788,1.2591505,1.0000305,-1.0000305,0.65623856,0.21127748,0.6
3,1.0,11,296.37541588156625,0.7506207227706909,1.5744302,-0.0,-1.0000305,0.42408693,0.5162085,0.6
4,,1,4.6570293071982745,1.1767452955245972,1.9229981,-0.0,-1.0000305,-0.13506597,0.9182184,0.6
4,,2,14.38389074944999,0.2962692379951477,1.9332827,-0.0,-1.0000305,0.16335759,0.92633826,0.6
4,,3,41.62340903525657,0.6356803178787231,1.9750208,0.17368084,-1.0000305,0.16650926,0.9749772,0.6
4,,4,58.14552216315239,0.7315866351127625,1.9451184,-0.0,-1.0000305,0.14880398,0.9393877,0.6
4,,5,67.28070966001249,0.27183201909065247,1.9373806,-0.0,-1.0000305,0.29717267,0.91442287,0.6
4,,6,84.56400439273614,0.3823985159397125,1.9123842,0.87743765,-1.0000305,-0.028166633,0.684337,0.6
4,,7,93.34271718209217,0.9839353561401367,1.8547843,-0.0,-1.0000305,0.19866058,0.8440841,0.6
4,,8,97.62512890000373,0.41884320974349976,1.4291033,0.49507126,-1.0000305,-0.059494168,0.317085,0.6
4,,9,97.30152954938048,0.883377730846405,0.9229785,-0.0,-1.0000305,-0.06466222,-0.07931981,0.6
4,,10,97.2765835071629,1.6331372261047363,0.9607294,-0.0,-1.0000305,0.070107944,-0.041862562,0.6
4,,11,97.63884459449694,1.4938628673553467,1.0487558,-0.0,-1.0000305,0.092114754,0.044672154,0.6
4,,12,97.12182458821653,0.2666344940662384,1.2800446,-1.0,-1.0000305,-0.0011076964,-0.19957551,0.6
4,,13,97.97534879014711,0.6299200654029846,1.2158831,-0.492172,-1.0000305,-0.011910975,0.116983876,0.6
4,,14,99.6078386910006,0.8917386531829834,1.2917722,-0.50755334,-0.9100925,0.056469794,0.2520407,0.6
4,,15,99.05040904176191,0.2538343667984009,0.6982615,-0.88085574,-1.0000305,-0.2491667,-0.7024771,0.6
4,,16,103.30277968655798,1.5665862560272217,1.2912134,0.17777032,-1.0000305,0.085274406,0.28786564,0.6
4,1.0,17,301.9615237717443,3.1590452194213867,1.3765146,0.45899838,-0.8377636,0.09756469,0.4904524,0.6
5,,1,2.6810607932661394,0.3976435959339142,1.9799045,0.14285715,-0.94137394,-0.61300194,0.8885712,0.6
5,,2,5.44371273389225,2.874767303466797,1.9142207,-0.14352855,-1.0000305,-0.31691417,0.9063216,0.6
5,,3,8.089334026844732,1.0460858345031738,1.8438135,-0.0,-1.0000305,0.13374826,0.83892566,0.6
5,,4,34.853081031882766,1.2302535772323608,1.834518,0.83367413,-0.80257577,0.5806469,1.014409,0.6
5,,5,48.75942833659358,0.7245535850524902,1.9198353,0.5640431,-1.0000305,0.25136223,0.89417076,0.6
5,,6,68.72054647457358,1.3044180870056152,1.6215714,-0.0,-1.0000305,0.43925261,0.560915,0.6
5,,7,74.85028356262583,0.18825913965702057,1.5319778,-0.0,-1.0000305,0.6370585,0.39320755,0.6
5,,8,91.5167147458549,0.39898669719696045,1.5352862,-0.0,-1.0000305,-0.027564922,0.5350082,0.6
5,,9,102.72757867308093,1.0413802862167358,1.712069,-0.0,-1.0000305,0.13719124,0.7065329,0.6
5,1.0,10,303.4045540362589,0.8275783658027649,1.4433419,-0.7577441,-0.87295145,0.057305895,0.31823674,0.6
6,,1,4.788921440191309,0.7450588345527649,2.071872,-1.0,-0.794763,0.16243252,0.92028934,0.6
6,,2,16.630739946081363,1.9307992458343506,2.2651622,-1.0,-1.0000305,0.12662058,0.9650869,0.6
6,,3,40.80918619912558,0.9665587544441223,2.0034344,-0.114413895,-1.0000305,0.15573595,0.98510617,0.6
6,,4,55.26161315150042,1.2885147333145142,1.913627,-0.0,-1.0000305,0.39814657,0.8717194,0.6
6,,5,67.45575109368991,1.64171302318573,1.9199002,-0.15863521,-1.0000305,-0.04685018,0.9166125,0.6
6,,6,83.11729918904236,1.3613529205322266,1.7605113,-0.29996642,-1.0000305,0.10982355,0.71212375,0.6
6,,7,96.34441062829376,1.7250220775604248,1.888808,-0.17435224,-1.0000305,0.073879145,0.87239474,0.6
6,,8,102.9333194160931,2.7669427394866943,1.4531393,-0.0,-1.0000305,0.0039096773,0.45310348,0.6
6,,9,102.39635031591206,0.8170079588890076,0.8274588,-0.10235908,-1.0000305,0.0033884253,-0.17935671,0.6
6,,10,105.53531850058528,0.998032808303833,1.6833832,-0.89327675,-1.0000305,-0.1573673,0.5139762,0.6
6,,11,105.62244798728494,0.32111120223999023,0.7882596,-0.39344463,-1.0000305,0.09164115,-0.37870532,0.6
6,,12,105.14688808359703,0.814172089099884,0.8178446,-0.0,-1.0000305,0.254029,-0.22263804,0.6
6,1.0,13,305.6713156068365,0.5395339727401733,1.4797773,-0.0,-1.0000305,-0.027984168,0.4794821,0.6
7,,1,4.345348700676251,0.5034302473068237,1.5225813,-0.38337353,-1.0000305,-0.94537663,0.4150336,0.6
7,,2,17.813054521891374,0.7210469245910645,2.2664323,-1.0,-0.92770165,0.25732172,0.95799655,0.6
7,,3,33.96210381857145,0.5392817854881287,1.9936465,-0.0,-1.0000305,0.30735156,0.969782,0.6
7,,4,48.42065382942948,0.9085642695426941,1.5567291,-0.50987273,-0.5132298,0.017472986,0.9514585,0.6
7,,5,62.39415591027473,1.6812095642089844,2.0138183,-0.0,-1.0000305,-0.12141564,1.0101242,0.6
7,,6,72.8479976650844,1.2279906272888184,1.9315009,-0.0,-0.99807733,-0.12818226,0.92916554,0.6
