st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
-0.08163794,-0.36194852,-2.2901158,-0.046283778,-0.47156373,-0.045607917,-0.46335387,-0.38257313,0.90445065,0.0
-0.09128164,-0.27547607,-3.0090435,-0.08083921,-0.38156408,-0.083865225,-0.37290883,-0.1005644,0.9423247,0.0
-0.087636,-0.26055387,3.0498347,-0.09314196,-0.2876475,-0.09392166,-0.27867636,0.028645247,0.70793086,0.0
-0.082855895,-0.13485505,-2.4451702,-0.091281325,-0.21476254,-0.09105714,-0.20788327,0.19511497,0.59821916,0.0
-0.08724528,-0.10335757,-1.9497786,-0.07330367,-0.15374379,-0.07154564,-0.14806136,-0.16028352,0.6833637,0.0
-0.099073336,-0.045343082,-2.025281,-0.08611581,-0.08662551,-0.087574,-0.07972498,-0.118300125,0.39119026,0.0
0.011804123,-0.44004735,-1.3533568,0.00066170545,-0.7480884,-0.0,-0.75,0.50409275,0.9344299,0.0
0.0118052475,-0.44004717,-1.3533597,0.044433072,-0.66415685,0.050409276,-0.656557,0.006339838,0.86474824,0.0
0.011805922,-0.44004706,-1.3533626,0.049278013,-0.57726645,0.05104326,-0.5700822,-0.24140787,0.9116949,0.0
0.011806514,-0.44004685,-1.3533635,0.027970986,-0.4869198,0.02690247,-0.4789127,-0.2663661,0.9707019,0.0
-0.024599295,-0.3016995,-1.4050097,0.0018792787,-0.39101082,0.0002658628,-0.3818425,-0.2677963,0.9133805,0.0
-0.042198632,-0.2332738,-1.4983101,-0.024606125,-0.29962322,-0.026513766,-0.29050446,-0.18224102,0.9202325,0.0
-0.057564713,-0.15397528,-1.6503811,-0.043504275,-0.20778643,-0.044737864,-0.1984812,-0.16120479,0.8133522,0.0
-0.07010596,-0.08478092,-1.8084173,-0.059576336,-0.12555331,-0.060858343,-0.11714598,-0.14853024,0.5360764,0.0
-0.09418065,-0.46569437,-1.3066778,0.00066170545,-0.7480884,-0.0,-0.75,-0.56758255,0.82611835,0.0
-0.09417944,-0.46569425,-1.3066812,-0.052003924,-0.67377627,-0.056758262,-0.66738814,-0.12275497,0.8810599,0.0
-0.09417876,-0.46569413,-1.3066845,-0.06828652,-0.5866847,-0.06903376,-0.57928216,-0.22927073,0.93502736,0.0
-0.09439309,-0.4652327,-1.3053575,-0.09038918,-0.4939767,-0.091960825,-0.48577943,0.15085623,0.93518984,0.0
-0.09842761,-0.29194435,-2.185182,-0.07881333,-0.40028837,-0.0768752,-0.39226046,-0.22898556,0.9305179,0.0
-0.09337721,-0.2144808,-2.9515388,-0.098183535,-0.30807605,-0.09977376,-0.29920867,0.110138424,0.85468525,0.0
-0.08711625,-0.19499585,3.1222522,-0.08989451,-0.22181179,-0.088759914,-0.21374013,-0.0015657084,0.5228978,0.0
-0.0887312,-0.10458553,-2.8542085,-0.08878732,-0.16670755,-0.08891648,-0.16145036,0.010729557,0.7323146,0.0
-0.088438965,-0.060353104,-2.7916825,-0.08786003,-0.09538283,-0.08784352,-0.08821888,-0.046840444,0.39265844,0.0
0.027820522,-0.67014337,-1.8166103,0.00066170545,-0.7480884,-0.0,-0.75,0.44839147,0.8753791,0.0
0.044922918,-0.6326327,-1.9834676,0.039526824,-0.6694717,0.044839144,-0.6624621,-0.24179178,0.95735234,0.0
0.030213442,-0.47668087,-0.1056242,0.02114506,-0.57483715,0.020659968,-0.56672686,0.24587461,0.73870325,0.0
0.006270555,-0.4098115,1.4484885,0.042230792,-0.49893287,0.045247436,-0.49285653,-0.46277764,0.9264171,0.0
-0.013482895,-0.37446263,1.7133706,0.0021547857,-0.4090676,-0.0010303333,-0.4002148,-0.22459319,0.92236394,0.0
-0.07919253,-0.21487996,1.0837195,-0.021869551,-0.31702518,-0.023489647,-0.3079784,-0.69335806,0.82646465,0.0
-0.10572768,-0.13635276,0.48378444,-0.086748585,-0.2342222,-0.09282546,-0.22533193,-0.2804364,0.89756197,0.0
-0.1062948,-0.12129029,0.4271829,-0.11792869,-0.1448401,-0.12086909,-0.13557574,0.19154741,0.25062093,0.0
-0.087748714,-0.0805429,0.5591421,-0.102824815,-0.113367625,-0.10171435,-0.11051364,-0.09281995,0.5526644,0.0
-0.086994566,-0.04325659,1.3573008,-0.10972446,-0.060730778,-0.11099634,-0.055247195,0.37741685,-0.42105958,0.0
-0.07005401,-0.069077194,0.33990955,-0.076845825,-0.09372279,-0.07325466,-0.09735316,-0.23658723,0.4530229,0.0
-0.030709019,-0.6817129,-0.5623455,0.00066170545,-0.7480884,-0.0,-0.75,-0.46832043,0.8855728,0.0
-0.056165416,-0.62440336,-0.19941282,-0.043192174,-0.6683187,-0.046832033,-0.6614427,-0.036961906,0.9601397,0.0
-0.08124905,-0.48876828,-0.80402994,-0.050954,-0.57351214,-0.05052822,-0.56542873,-0.33842936,0.88501424,0.0
-0.085363664,-0.428545,-1.4946923,-0.08179535,-0.48490316,-0.08437115,-0.4769273,0.013576813,0.9513954,0.0
-0.08711586,-0.3122321,-1.5365334,-0.08351018,-0.39018208,-0.08301347,-0.38178778,-0.009526054,0.93208945,0.0
-0.08886674,-0.26490307,-1.4976592,-0.084359415,-0.29719037,-0.08396607,-0.28857884,0.015896367,0.80008066,0.0
-0.09935336,-0.11974479,-1.923387,-0.082741685,-0.21627136,-0.08237643,-0.20857076,-0.3011129,0.89306664,0.0
-0.099229895,-0.064307965,-2.3235512,-0.10989439,-0.12837902,-0.11248772,-0.1192641,0.10003417,0.5795851,0.0
0.09626814,-0.41955486,-1.7119713,0.00066170545,-0.7480884,-0.0,-0.75,0.78250515,0.922176,0.0
0.09626877,-0.41955456,-1.7119746,0.069731005,-0.6657224,0.07825051,-0.6577824,0.4891056,0.88403445,0.0
0.09626932,-0.41955423,-1.7119784,0.12060139,-0.5767445,0.12716107,-0.569379,-0.12360736,0.815979,0.0
0.09626965,-0.4195538,-1.7119803,0.11371584,-0.4945207,0.114800334,-0.48778105,-0.21733278,0.8178557,0.0
0.08961967,-0.380578,-1.6476622,0.09264517,-0.41359383,0.09306705,-0.4059955,-0.7548246,0.9206883,0.0
0.045687545,-0.28981933,0.27256846,0.024649091,-0.32488555,0.017584585,-0.31392667,0.5141595,-0.45966282,0.0
0.037096675,-0.2766743,0.7893138,0.06478928,-0.35645694,0.069000535,-0.35989293,-0.468676,0.93638384,0.0
0.022793604,-0.2288362,1.1738458,0.025347574,-0.27522305,0.022132933,-0.26625454,-0.49928272,0.8416985,0.0
-0.012968819,-0.14143702,-3.1293948,-0.023566185,-0.19108395,-0.027795337,-0.1820847,0.25770092,-0.13982482,0.0
-0.038652662,-0.12082619,-1.9576778,-0.003933085,-0.19526519,-0.0020252466,-0.19606718,-0.48048058,0.84549063,0.0
-0.054158736,-0.08600201,-1.6833806,-0.04615328,-0.11956336,-0.050073303,-0.1115181,-0.21816011,0.52267635,0.0
0.058451053,-0.61446875,-0.06557417,0.00066170545,-0.7480884,-0.0,-0.75,0.8496481,0.82175606,0.0
0.058451634,-0.61446947,-0.06557417,0.07605783,-0.6750322,0.08496481,-0.6678244,-0.2735164,0.9761486,0.0
0.03187308,-0.5010802,-0.33404255,0.057879023,-0.5784863,0.05761317,-0.5702095,-0.28724328,0.9642142,0.0
0.024088856,-0.45190683,-0.64671373,0.030411169,-0.4824843,0.028888851,-0.47378808,-0.35566452,0.9351185,0.0
-0.043439083,-0.28247806,0.46111655,-0.0041259467,-0.38936672,-0.006677605,-0.38027626,-0.3512995,0.9439285,0.0
-0.088519596,-0.1969294,1.4276867,-0.039069157,-0.2954457,-0.041807562,-0.2858834,-0.63822246,0.7931376,0.0
-0.099502735,-0.18757597,1.8102151,-0.099830315,-0.21508773,-0.10562981,-0.20656964,0.08866288,0.59336114,0.0
-0.101763286,-0.08323659,1.7880516,-0.09691798,-0.15318094,-0.09676352,-0.14723352,-0.09981681,0.8107388,0.0
-0.102805994,-0.045816958,1.8308035,-0.105716966,-0.07430039,-0.1067452,-0.066159636,0.07278078,0.2919277,0.0
0.05058596,-0.5378892,-1.8287511,0.00066170545,-0.7480884,-0.0,-0.75,0.66835046,0.91034025,0.0
0.050586432,-0.53788877,-1.8287568,0.059387363,-0.6665976,0.066835046,-0.65896595,0.038672507,0.91628915,0.0
0.050586965,-0.5378881,-1.8287582,0.06835169,-0.5749554,0.0707023,-0.56733704,-0.3759628,0.97019196,0.0
-0.011881557,-0.37771335,-1.8593903,0.035243846,-0.4791852,0.03310602,-0.47031784,-0.49549413,0.9212797,0.0
-0.04160194,-0.29400623,-1.9177804,-0.012521201,-0.38747483,-0.016443387,-0.37818986,-0.28555354,0.91833097,0.0
-0.051643495,-0.26571348,1.2248405,-0.04267311,-0.29557425,-0.044998743,-0.28635678,-0.1215456,0.82218283,0.0
-0.07786009,-0.13764551,1.3176775,-0.056196228,-0.21238732,-0.0571533,-0.20413849,-0.31106615,0.8195654,0.0
-0.08851572,-0.091946386,1.3416742,-0.08551653,-0.13065608,-0.08825991,-0.122181945,-0.013543121,0.56113684,0.0
0.020703597,-0.4682431,-2.0015182,0.00066170545,-0.7480884,-0.0,-0.75,0.5834542,0.94200855,0.0
0.020703757,-0.4682428,-2.0015278,0.05160868,-0.6635745,0.05834542,-0.65579915,-0.076568425,0.88877976,0.0
0.02070427,-0.4682419,-2.0015435,0.049573343,-0.5743564,0.050688583,-0.5669212,-0.2690054,0.94489557,0.0
0.018299438,-0.45443296,-2.0116935,0.025102794,-0.48082918,0.023788046,-0.4724316,-0.29806828,0.90798587,0.0
-0.042940333,-0.28192237,-1.3241467,-0.003944597,-0.3903127,-0.006018784,-0.381633,-0.42454174,0.911289,0.0
-0.07790612,-0.2023585,-0.81964064,-0.045020644,-0.29981387,-0.04847296,-0.29050413,-0.4248693,0.8802366,0.0
-0.08710574,-0.17825101,-0.5612378,-0.08715963,-0.2116678,-0.09095989,-0.20248045,-0.0030348506,0.6112941,0.0
-0.09414805,-0.07480121,-0.051276684,-0.09078108,-0.14761916,-0.09126337,-0.14135104,-0.10108634,0.6164546,0.0
-0.0994807,-0.055818804,0.25076365,-0.10010787,-0.0860047,-0.101372,-0.079705596,-0.03767722,0.30683476,0.0
-0.03910273,-0.54514426,-2.1113143,0.00066170545,-0.7480884,-0.0,-0.75,-0.10296644,0.8985812,0.0
-0.03910289,-0.5451439,-2.1113286,-0.010313983,-0.66702324,-0.010296643,-0.6601419,-0.26400113,0.94079846,0.0
-0.039102238,-0.54514307,-2.111329,-0.035258025,-0.574111,-0.036696754,-0.56606203,-0.048365008,0.9544649,0.0
-0.06138046,-0.36639327,-1.7456274,-0.041866247,-0.4788311,-0.041533254,-0.47061554,-0.14851493,0.9343663,0.0
-0.07505887,-0.28381842,-1.4131088,-0.05566817,-0.38569173,-0.05638475,-0.3771789,-0.19539228,0.93033266,0.0
-0.079535015,-0.2644395,-1.3552828,-0.074534625,-0.29313055,-0.07592397,-0.28414565,-0.014813203,0.7519007,0.0
-0.09857673,-0.12790748,-1.82727,-0.077296264,-0.2163164,-0.07740529,-0.20895557,-0.3506998,0.85767484,0.0
-0.099386595,-0.0863573,-2.2369943,-0.10935096,-0.13196668,-0.11247527,-0.123188086,0.08011135,0.51955354,0.0
-0.091706924,-0.5580426,-0.99284697,0.00066170545,-0.7480884,-0.0,-0.75,-0.76192516,0.7109537,0.0
-0.09170537,-0.5580429,-0.99285555,-0.06927336,-0.68436766,-0.07619252,-0.67890465,-0.17471747,0.94328046,0.0
-0.09170442,-0.55804324,-0.992856,-0.0922555,-0.5925006,-0.093664266,-0.5845766,0.16731746,0.96510744,0.0
-0.08206374,-0.37740725,-1.2867727,-0.0793555,-0.49616706,-0.07693252,-0.48806584,0.06975874,0.9284956,0.0
-0.07412957,-0.28625727,-1.5839443,-0.07146681,-0.40323013,-0.069956645,-0.3952163,0.028699353,0.90170807,0.0
-0.07149126,-0.27708378,-1.7091866,-0.06795033,-0.31322226,-0.06708671,-0.30504546,-0.05944657,0.8452136,0.0
-0.085739195,-0.145311,-1.6290131,-0.07285367,-0.22868279,-0.073031366,-0.2205241,-0.19939776,0.88381726,0.0
-0.09024374,-0.09331152,-1.6094842,-0.09136484,-0.14109403,-0.092971146,-0.1321424,-0.034402005,0.58836555,0.0
-0.09157967,-0.053672764,1.5354946,-0.095683776,-0.07953863,-0.09641135,-0.07330583,0.007383734,0.30997655,0.0
0.016451683,-0.40693736,-0.4059391,0.00066170545,-0.7480884,-0.0,-0.75,0.51606923,0.9516385,0.0
0.016452573,-0.40693828,-0.4059415,0.04548024,-0.66259974,0.051606923,-0.6548362,0.11473585,0.817723,0.0
0.016452912,-0.40693846,-0.40594435,0.060372725,-0.5798344,0.063080505,-0.57306385,-0.25670967,0.84469444,0.0
0.016453268,-0.40693885,-0.40594625,0.0386665,-0.49597767,0.037409537,-0.4885944,-0.2022668,0.9311821,0.0
0.010177117,-0.36988539,-0.42009258,0.01829985,-0.40412667,0.017182857,-0.3954762,-0.35818473,0.9192989,0.0
-0.04740514,-0.2210304,0.59212875,-0.015998458,-0.31282791,-0.018635608,-0.3035463,-0.29944345,0.9362885,0.0
-0.08385194,-0.16012157,1.4232706,-0.04626152,-0.21955329,-0.04857996,-0.20991746,-0.49125555,0.4661091,0.0
-0.10003905,-0.14067918,1.7275015,-0.092777215,-0.1684592,-0.09770552,-0.16330656,0.085667074,0.5731549,0.0
-0.10440543,-0.04750007,1.0568624,-0.08928101,-0.11159379,-0.08913881,-0.105991066,-0.18260099,0.64752537,0.0
0.08384461,-0.69852835,-0.98042154,0.00066170545,-0.7480884,-0.0,-0.75,0.9265846,0.21874066,0.0
0.08415645,-0.6985344,-0.99352074,0.0838993,-0.7299935,0.09265846,-0.72812593,-0.34084707,0.871812,0.0
0.05789936,-0.56476104,-0.87091684,0.059738964,-0.64791477,0.05857376,-0.6409447,0.06701565,0.93431675,0.0
0.04942023,-0.5275701,-0.71418715,0.063410304,-0.5552412,0.06527533,-0.54751307,-0.42992002,0.95273024,0.0
-0.0383971,-0.36608708,-0.122443676,0.02504674,-0.46117702,0.022283323,-0.45224002,-0.7889282,0.8812841,0.0
-0.07500536,-0.28430453,-0.7027192,-0.049807694,-0.3736475,-0.05660951,-0.3641116,-0.2656769,0.9105167,0.0
-0.097603634,-0.24415074,-0.7278786,-0.080604635,-0.28219855,-0.0831772,-0.27305993,-0.049204383,0.6335366,0.0
-0.11403073,-0.19421233,-1.7875276,-0.087371305,-0.21603203,-0.08809764,-0.20970628,-0.33879873,-0.5861486,0.0
-0.10445931,-0.18409188,-2.113419,-0.11845236,-0.26292747,-0.12197752,-0.26832113,0.2640863,0.71812576,0.0
-0.102647886,-0.17336045,-2.1896443,-0.09763004,-0.2020666,-0.095568895,-0.19650856,0.03533385,0.6132453,0.0
-0.1032996,-0.06746017,-2.405192,-0.092359394,-0.14108671,-0.09203551,-0.13518403,-0.26578006,0.78744113,0.0
-0.102248065,-0.041255753,-2.3744984,-0.115931064,-0.06452578,-0.118613526,-0.05643991,0.080156416,0.17963731,0.0
0.06541241,-0.63877016,-0.5373416,0.00066170545,-0.7480884,-0.0,-0.75,0.9075591,0.6703317,0.0
0.065413736,-0.6387711,-0.5373421,0.0816159,-0.6889603,0.09075591,-0.6829668,-0.33280262,0.9829843,0.0
0.02497808,-0.49905092,-0.5405793,0.05824095,-0.5929511,0.05747565,-0.5846684,-0.32830614,0.9486842,0.0
0.0042608776,-0.428059,-0.60568,0.026583657,-0.49834207,0.02464503,-0.48979995,-0.24404177,0.96123666,0.0
-0.016170608,-0.34549004,-0.6560302,0.0017219202,-0.40269515,0.00024084747,-0.39367628,-0.2105084,0.9614856,0.0
