st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
-0.10408066,-0.13507666,-1.4834113,-0.09787592,-0.16207816,-0.101310715,-0.15708318,0.049562477,0.51848906,0.0
-0.108676046,-0.05266342,-1.9912219,-0.09620356,-0.11033649,-0.09635447,-0.105234265,-0.19101468,0.5987694,0.0
-0.056889605,-0.46659973,-2.0199485,0.00066170545,-0.7480884,-0.0,-0.75,-0.080042854,0.8555018,0.0
-0.05688955,-0.4665994,-2.019958,-0.008156602,-0.67094034,-0.008004285,-0.6644498,-0.21191296,0.89525986,0.0
-0.056888945,-0.46659866,-2.0199747,-0.02819493,-0.58248,-0.029195584,-0.5749238,-0.26546428,0.9362724,0.0
-0.057516348,-0.4620995,-2.0131445,-0.05396277,-0.48958153,-0.05574201,-0.4812966,-0.018526312,0.93208915,0.0
-0.07580023,-0.28666842,-1.7940335,-0.057930138,-0.39635533,-0.057594642,-0.3880877,-0.16675442,0.9314052,0.0
-0.0861258,-0.20771402,-1.5873446,-0.073238604,-0.3038101,-0.07427009,-0.29494715,-0.17276108,0.9164331,0.0
-0.089258544,-0.18519583,-1.4700751,-0.09021662,-0.21241799,-0.0915462,-0.20330384,0.0066556395,0.525244,0.0
-0.092616126,-0.09852904,-1.3066239,-0.090617724,-0.1561849,-0.09088064,-0.15077946,-0.029577373,0.7222746,0.0
-0.09357337,-0.048368342,-1.2551742,-0.09341088,-0.08570548,-0.09383838,-0.07855199,-0.013787543,0.37500012,0.0
0.023913514,-0.653981,-0.14597034,0.00066170545,-0.7480884,-0.0,-0.75,0.42677346,0.8908273,0.0
0.027327925,-0.6437115,-0.3376317,0.037534192,-0.6680388,0.042677343,-0.6609173,-0.23623481,0.9668616,0.0
-0.031971633,-0.46490678,-0.8255563,0.019487742,-0.57243085,0.019053861,-0.5642311,-0.52514976,0.9080031,0.0
-0.058663853,-0.3769479,-1.3521137,-0.029375274,-0.48200172,-0.033461116,-0.4734308,-0.25919297,0.93496627,0.0
-0.05971835,-0.36217177,-1.5346413,-0.057266377,-0.3887445,-0.059380412,-0.3799342,-0.054798964,0.8778417,0.0
-0.08376777,-0.19320847,-1.42869,-0.0646072,-0.30043566,-0.06486031,-0.29215,-0.26546514,0.9097679,0.0
-0.09510472,-0.12044224,-1.3486061,-0.08929289,-0.21030739,-0.09140682,-0.20117322,-0.1365739,0.87625223,0.0
-0.09659552,-0.09535514,-1.1636176,-0.10376544,-0.12250081,-0.10506421,-0.113548,0.05621127,0.35310757,0.0
-0.0904956,-0.04511465,-0.8069577,-0.09940603,-0.08219379,-0.099443085,-0.07823725,-0.007953253,0.29840487,0.0
0.062612325,-0.6972311,-0.47859192,0.00066170545,-0.7480884,-0.0,-0.75,0.85524195,0.22162087,0.0
0.062612325,-0.6972311,-0.47859192,0.07741683,-0.7295675,0.085524194,-0.7278379,-0.4229958,0.9769034,0.0
-0.0060010334,-0.5368857,-0.46541882,0.045007218,-0.63811547,0.043224618,-0.6301476,-0.55086714,0.925822,0.0
-0.041484665,-0.4523618,-0.4339366,-0.007671289,-0.5460643,-0.011862092,-0.53756535,-0.29865378,0.9293182,0.0
-0.0539152,-0.42386064,-0.41195107,-0.03937912,-0.45317814,-0.041727483,-0.44463354,-0.029684113,0.93759334,0.0
-0.08421591,-0.2473737,-0.3571105,-0.044891454,-0.35939252,-0.04469589,-0.3508742,-0.4946396,0.88063276,0.0
-0.104405046,-0.1599163,-0.267004,-0.09000573,-0.27185145,-0.09415986,-0.26281092,-0.28277612,0.8985509,0.0
-0.111466944,-0.13365436,-0.26687765,-0.119655825,-0.18214384,-0.12243747,-0.17295583,0.065824725,0.6872279,0.0
-0.11086801,-0.084019445,-0.1144166,-0.116030864,-0.111222744,-0.11585499,-0.104233034,0.11031926,0.36580598,0.0
-0.10438415,-0.062966116,-0.31409216,-0.10563281,-0.07142716,-0.10482307,-0.067652434,0.0861744,0.18180323,0.0
-0.09786421,-0.04743608,-0.33161592,-0.09684915,-0.051299896,-0.09620563,-0.04947211,0.010042345,0.10000712,0.0
-0.054674484,-0.60314953,-1.0569425,0.00066170545,-0.7480884,-0.0,-0.75,-0.4669419,0.89584684,0.0
-0.054672718,-0.60314983,-1.0569444,-0.043090854,-0.6673873,-0.04669418,-0.6604153,-0.11203142,0.9444208,0.0
-0.07458112,-0.4940716,-1.2324901,-0.057528347,-0.5739736,-0.05789733,-0.5659732,-0.1893384,0.91917175,0.0
-0.08065067,-0.4514934,-1.4379587,-0.07569358,-0.48213667,-0.07683118,-0.47405607,0.08405229,0.9388895,0.0
-0.08601445,-0.27905855,-2.022038,-0.06975601,-0.38833794,-0.06842595,-0.38016713,-0.16425498,0.9367641,0.0
-0.08395247,-0.1958939,-2.563899,-0.083880395,-0.29539388,-0.08485146,-0.2864907,0.045057964,0.85602987,0.0
-0.08149421,-0.17982447,-2.7311935,-0.08095984,-0.20912518,-0.08034566,-0.20088771,-0.052568287,0.5306781,0.0
-0.094860174,-0.086693235,-2.758961,-0.08497331,-0.15325105,-0.08560249,-0.1478199,-0.1892401,0.79451746,0.0
-0.100962505,-0.04336148,-2.6890035,-0.10262485,-0.076375574,-0.104526505,-0.06836815,0.029059809,0.33918157,0.0
0.020295838,-0.6198204,-1.818584,0.00066170545,-0.7480884,-0.0,-0.75,0.3959739,0.93245316,0.0
0.020296583,-0.6198195,-1.8185849,0.03465177,-0.6642087,0.039597392,-0.6567547,-0.2671284,0.9809577,0.0
