st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
0.010953882,-0.45104128,-1.2729821,0.00066170545,-0.7480884,-0.0,-0.75,0.5039294,0.92682594,0.0
0.0109551875,-0.45104122,-1.2729859,0.044437453,-0.6648497,0.050392937,-0.6573174,-0.027088972,0.87035894,0.0
0.010955878,-0.45104113,-1.2729897,0.046227857,-0.5775217,0.04768404,-0.5702815,-0.25956097,0.9258554,0.0
0.010956371,-0.45104104,-1.2729902,0.022966133,-0.48585892,0.021727938,-0.47769594,-0.2732655,0.9487103,0.0
-0.0538701,-0.2821926,-1.3787222,-0.0038442272,-0.39179066,-0.0055986084,-0.3828249,-0.5652945,0.8979599,0.0
-0.086978175,-0.19689374,-1.5283976,-0.05738622,-0.30244717,-0.062128063,-0.29302892,-0.3909694,0.89860064,0.0
-0.08983508,-0.1858558,-1.5535831,-0.09759801,-0.2124988,-0.101225,-0.20316885,-0.01818568,0.5054172,0.0
-0.09500864,-0.103552684,-0.56176996,-0.1022862,-0.15789898,-0.103043586,-0.15262714,0.07141269,0.5423719,0.0
-0.094957545,-0.07518461,-0.24439526,-0.09620045,-0.10370943,-0.09590231,-0.09838994,0.010152006,0.3763818,0.0
0.0029804974,-0.4302972,-0.225636,0.00066170545,-0.7480884,-0.0,-0.75,0.46678662,0.9102924,0.0
0.0029808565,-0.43029773,-0.22563696,0.04111178,-0.666312,0.046678662,-0.6589708,-0.013025486,0.8286301,0.0
0.0029811694,-0.43029812,-0.22563887,0.04392052,-0.5829711,0.045376107,-0.57610774,-0.24500303,0.8830061,0.0
0.0029814367,-0.43029836,-0.22563887,0.022067094,-0.4954961,0.020875812,-0.48780715,-0.20942417,0.96188474,0.0
-0.01800167,-0.33650765,-0.31841564,0.0010541622,-0.4004952,-6.660074e-05,-0.39161867,-0.20583826,0.94988126,0.0
-0.030623348,-0.26957065,-0.48144484,-0.019437563,-0.3059188,-0.020650424,-0.29663053,-0.187838,0.82834154,0.0
-0.06755527,-0.13960226,-0.5201793,-0.0380627,-0.22220176,-0.039434217,-0.21379639,-0.38731742,0.8419466,0.0
-0.08106553,-0.09139472,-0.5921669,-0.0748178,-0.13837275,-0.07816596,-0.12960172,-0.077301905,0.5621472,0.0
0.070203565,-0.68607825,-0.46122026,0.00066170545,-0.7480884,-0.0,-0.75,0.897245,0.3248384,0.0
0.070203565,-0.68607825,-0.46122026,0.08114291,-0.7203122,0.0897245,-0.7175162,-0.40287122,0.9731077,0.0
0.010922663,-0.5237869,-0.008714199,0.050967082,-0.62820476,0.049437374,-0.6202054,-0.3741854,0.9404543,0.0
-0.019428885,-0.44001743,0.20661235,0.014435121,-0.5345261,0.012018822,-0.52615994,-0.396992,0.91214234,0.0
-0.016228316,-0.40845743,0.06260705,-0.024589043,-0.4435418,-0.027680382,-0.43494573,-0.09830395,0.9275392,0.0
-0.021129504,-0.28748244,1.6172203,-0.037009064,-0.35081342,-0.037510775,-0.34219182,0.32582483,0.14845398,0.0
-0.030432148,-0.2321599,-2.5332937,-0.0077804667,-0.32872128,-0.004928291,-0.3273464,-0.24130343,0.89782846,0.0
-0.04018777,-0.19772513,-1.3472071,-0.027580995,-0.24593133,-0.029058635,-0.23756358,-0.20827243,0.831738,0.0
-0.07916101,-0.08889326,-1.7404113,-0.04824927,-0.16289467,-0.049885884,-0.15438977,-0.4751459,0.7741701,0.0
-0.08594753,-0.051499594,-2.1156015,-0.09297895,-0.08515031,-0.09740048,-0.076972745,-0.08812745,0.39043814,0.0
-0.0072750356,-0.5677492,-0.039716244,0.00066170545,-0.7480884,-0.0,-0.75,0.16949263,0.8805801,0.0
-0.0072748014,-0.56774974,-0.03971672,0.014302081,-0.6687473,0.016949259,-0.661942,-0.18635057,0.9462025,0.0
-0.00969352,-0.54781455,-0.13980532,-0.0013656217,-0.57530457,-0.0016857982,-0.5673217,-0.14608987,0.9600396,0.0
-0.048917893,-0.37016132,-0.25421333,-0.015910007,-0.47967702,-0.016294792,-0.47131777,-0.29218692,0.92491317,0.0
-0.067366116,-0.28318024,-0.28975248,-0.04344023,-0.38754845,-0.04551349,-0.37882644,-0.25824574,0.9131383,0.0
-0.07477327,-0.25407147,-0.26149273,-0.06926282,-0.29648644,-0.07133806,-0.28751263,-0.03257168,0.8623366,0.0
-0.091794886,-0.10906158,-0.23525858,-0.074444324,-0.20972517,-0.07459523,-0.20127895,-0.2725464,0.83282316,0.0
-0.103042915,-0.04875871,-0.16358137,-0.09944857,-0.12657718,-0.10184988,-0.11799664,0.012179569,0.598858,0.0
-0.075910315,-0.440894,-1.4088964,0.00066170545,-0.7480884,-0.0,-0.75,-0.2658363,0.83649176,0.0
-0.07590927,-0.44089383,-1.4088988,-0.024855083,-0.67267954,-0.02658362,-0.66635084,-0.162352,0.8605602,0.0
-0.07590861,-0.4408937,-1.4089017,-0.04200303,-0.5875079,-0.042818815,-0.5802948,-0.23714966,0.9225027,0.0
