st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
-0.0061870655,-0.48323458,-0.25021124,0.03154713,-0.67381203,0.03590416,-0.6673335,-0.114078045,0.86231464,0.0
-0.0061867125,-0.48323494,-0.25021315,0.024081819,-0.5882512,0.024496354,-0.581102,-0.26556775,0.9404788,0.0
-0.0087875165,-0.46973273,-0.28323317,-0.0006471167,-0.4952945,-0.0020604283,-0.4870541,-0.19734219,0.93717176,0.0
-0.061357453,-0.2968473,-0.25967026,-0.020647183,-0.4019491,-0.021794647,-0.39333695,-0.45808235,0.8889791,0.0
-0.084974065,-0.21658278,-0.2376399,-0.06379498,-0.3134703,-0.06760288,-0.30443904,-0.29025406,0.90025604,0.0
-0.08922158,-0.19546969,-0.06580496,-0.093978524,-0.22355933,-0.09662829,-0.21441342,-0.0046706903,0.57738805,0.0
-0.09108184,-0.09984951,0.7554476,-0.096642114,-0.16257149,-0.09709537,-0.15667462,0.040200714,0.7619802,0.0
-0.08696146,-0.043213032,1.1802465,-0.09333632,-0.0879668,-0.0930753,-0.0804766,-0.07233667,0.47032577,0.0
0.018049482,-0.5602997,-1.058301,0.00066170545,-0.7480884,-0.0,-0.75,0.43604702,0.92730826,0.0
0.018051112,-0.5602998,-1.0583072,0.038286123,-0.66472477,0.0436047,-0.6572692,-0.18603618,0.95062435,0.0
0.014185477,-0.5341722,-1.1867409,0.024968324,-0.5702438,0.025001079,-0.56220675,-0.2480098,0.96949476,0.0
-0.04793195,-0.3581102,-1.4163413,0.001425451,-0.47388363,0.00020010024,-0.46525726,-0.5054627,0.8996856,0.0
-0.079133324,-0.26665044,-1.6597095,-0.046210892,-0.38426515,-0.050346166,-0.37528867,-0.37344852,0.9149064,0.0
-0.081218824,-0.2551,-1.7615705,-0.084353425,-0.29303005,-0.08769102,-0.28379804,-0.03029434,0.8251121,0.0
-0.08693835,-0.13079348,-0.8293371,-0.09035196,-0.20940258,-0.090720445,-0.20128684,0.06459657,0.72954285,0.0
-0.0989955,-0.0839728,0.017707586,-0.08484576,-0.1355348,-0.084260784,-0.12833256,-0.097616844,0.7489064,0.0
-0.04618147,-0.67907095,-0.24937296,0.00066170545,-0.7480884,-0.0,-0.75,-0.64341354,0.7988134,0.0
-0.06956287,-0.6424435,0.09542322,-0.058775317,-0.67631054,-0.06434136,-0.6701187,-0.061279785,0.9693806,0.0
-0.10752283,-0.4760218,-0.43809414,-0.07044788,-0.58132523,-0.070469335,-0.5731806,-0.39541999,0.87726295,0.0
-0.12030348,-0.39699113,-0.99157095,-0.10673342,-0.49341172,-0.11001133,-0.4854543,-0.17016259,0.9138122,0.0
-0.120584935,-0.37496182,-1.0623403,-0.1254633,-0.40237144,-0.12702759,-0.39407307,0.18237336,0.88873553,0.0
-0.10207396,-0.20521134,-0.9760747,-0.110694915,-0.313066,-0.10879025,-0.30519953,0.097191155,0.833634,0.0
-0.094259016,-0.1316878,-0.8595252,-0.100299284,-0.2295691,-0.09907113,-0.22183612,0.04581031,0.78382295,0.0
-0.09332958,-0.11768608,-0.85726404,-0.09506366,-0.15107766,-0.0944901,-0.1434538,0.003650485,0.49627915,0.0
