st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
0.09262611,-0.47232717,-0.7767849,0.109595224,-0.49911886,0.11054896,-0.49166268,-0.66554004,0.924731,0.0
-0.03228702,-0.31353083,-0.23868465,0.051273156,-0.40886262,0.043994956,-0.3991896,-0.9178975,0.8692476,0.0
-0.104986034,-0.22664346,0.28149033,-0.039589737,-0.3220083,-0.04779479,-0.31226483,-0.7401817,0.6786414,0.0
-0.12305859,-0.21331163,0.4938488,-0.114474185,-0.25182667,-0.12181296,-0.2444007,0.25092122,0.8364585,0.0
-0.12440646,-0.06669917,-0.68937635,-0.0985558,-0.16858679,-0.09672084,-0.16075486,-0.4910377,0.7319273,0.0
-0.06732433,-0.57614845,-0.7747135,0.00066170545,-0.7480884,-0.0,-0.75,-0.53488547,0.84254277,0.0
-0.06732243,-0.5761493,-0.7747226,-0.04909452,-0.6722639,-0.053488545,-0.66574574,-0.16249065,0.9445599,0.0
-0.07144095,-0.5374626,-0.6846795,-0.06876522,-0.57929546,-0.069737606,-0.5712898,0.075288415,0.96324885,0.0
-0.076928176,-0.36781412,-0.669827,-0.06374583,-0.48312223,-0.062208764,-0.47496486,-0.06492085,0.93415856,0.0
-0.079741776,-0.28042737,-0.67793417,-0.06882955,-0.38987517,-0.06870086,-0.381549,-0.07495886,0.923061,0.0
-0.07975324,-0.26660305,-0.6867542,-0.07596613,-0.29789498,-0.07619674,-0.2892429,-0.0036852192,0.7847558,0.0
-0.088069044,-0.12031148,-0.5086403,-0.07670339,-0.2183669,-0.07656526,-0.21076731,-0.22993511,0.851537,0.0
-0.09266985,-0.07157289,-0.38360834,-0.09759943,-0.13424464,-0.09955878,-0.1256136,-0.023284532,0.5690781,0.0
-0.09188218,-0.0415572,-0.047067165,-0.10116378,-0.07474417,-0.10188723,-0.0687058,-0.043478627,0.29613522,0.0
0.01080112,-0.6672051,-0.079306126,0.00066170545,-0.7480884,-0.0,-0.75,0.23033176,0.93789375,0.0
0.019547801,-0.62764364,-0.25848055,0.019663807,-0.66356814,0.02303318,-0.6562106,-0.17984469,0.97323525,0.0
0.0015150014,-0.46185166,0.93003416,0.0051521515,-0.56713915,0.005048707,-0.5588871,0.04686251,0.9562329,0.0
-0.019280022,-0.37659964,2.0920243,0.008208991,-0.4713701,0.009734958,-0.4632638,-0.2864865,0.9348614,0.0
-0.029004505,-0.35280302,2.3675504,-0.017173314,-0.37861508,-0.018913694,-0.36977768,-0.17667882,0.8643366,0.0
-0.08256913,-0.19298531,1.994319,-0.0353376,-0.29180408,-0.03658157,-0.283344,-0.6307487,0.8128576,0.0
-0.10231772,-0.12426615,1.5425706,-0.09408099,-0.21066988,-0.09965645,-0.20205824,-0.12908925,0.89893717,0.0
-0.10305846,-0.08928688,1.7843628,-0.11102591,-0.12131825,-0.11256537,-0.11216452,0.08351607,0.45399466,0.0
0.037625268,-0.57218504,-1.0314946,0.00066170545,-0.7480884,-0.0,-0.75,0.5864162,0.9164497,0.0
0.037626915,-0.5721853,-1.0314994,0.05193642,-0.66591316,0.05864162,-0.658355,-0.12011669,0.9561461,0.0
0.032365173,-0.5258398,-1.2605615,0.045770977,-0.5707695,0.04662995,-0.5627404,-0.2626623,0.97789294,0.0
-0.0046411725,-0.37763715,-1.3312635,0.021570642,-0.47370398,0.020363726,-0.4649511,-0.24889706,0.9303857,0.0
-0.023770452,-0.3036682,-1.418694,-0.00296224,-0.38077834,-0.004525982,-0.37191254,-0.20513567,0.9261313,0.0
-0.034908086,-0.24566305,-1.5662551,-0.02372689,-0.2884373,-0.025039554,-0.2792994,-0.18124558,0.84093,0.0
-0.06236937,-0.13144055,-1.5970335,-0.04184769,-0.2037531,-0.04316411,-0.19520642,-0.28349623,0.8478792,0.0
-0.07146267,-0.09255786,-1.6034331,-0.06912014,-0.11920568,-0.07151374,-0.110418506,-0.10517192,0.43746233,0.0
-0.074375175,-0.5538583,-0.82091045,0.00066170545,-0.7480884,-0.0,-0.75,-0.5484656,0.809807,0.0
-0.07437343,-0.5538588,-0.8209243,-0.050248176,-0.67523634,-0.054846562,-0.6690193,-0.1934403,0.9390747,0.0
-0.07493566,-0.5485479,-0.817327,-0.07286948,-0.5830669,-0.074190594,-0.5751118,0.10607794,0.9665459,0.0
-0.077381074,-0.3642723,-0.9085145,-0.06540356,-0.48661005,-0.0635828,-0.4784572,-0.027870722,0.9272728,0.0
-0.07789322,-0.27634627,-0.99671745,-0.0668783,-0.39391834,-0.066369876,-0.38572994,-0.060176644,0.9139923,0.0
-0.07763324,-0.26871806,-1.0219035,-0.07232735,-0.30284122,-0.07238754,-0.29433072,-0.02058394,0.81797224,0.0
-0.100400396,-0.11701788,-1.4702344,-0.07450121,-0.22044656,-0.07444594,-0.21253349,-0.41546687,0.8839121,0.0
-0.10370998,-0.060397804,-1.8948903,-0.11234801,-0.13327271,-0.115992635,-0.12414228,0.06332996,0.668267,0.0
-0.025456415,-0.49029684,-1.3617821,0.00066170545,-0.7480884,-0.0,-0.75,0.19301155,0.85602677,0.0
-0.025455292,-0.4902967,-1.3617849,0.016478762,-0.67099786,0.019301154,-0.6643973,-0.19096836,0.8910091,0.0
-0.025454339,-0.49029642,-1.3617868,0.00067023287,-0.5827767,0.00020431727,-0.5752964,-0.24058019,0.9373459,0.0
-0.03352485,-0.4538412,-1.5081811,-0.022494469,-0.48979774,-0.023853704,-0.4815618,-0.12288901,0.9576027,0.0
-0.0647032,-0.29296073,-1.970263,-0.035662264,-0.39447284,-0.03614261,-0.38580155,-0.30710325,0.91932034,0.0
-0.07869248,-0.21802518,-2.242659,-0.06450184,-0.30294427,-0.06685294,-0.2938695,-0.15217108,0.9193836,0.0
-0.096831545,-0.1755802,0.9603627,-0.08087612,-0.21109776,-0.08207005,-0.20193115,-0.007929919,0.46348032,0.0
