st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
-0.0533083,-0.28280073,2.1980023,-0.007197354,-0.3011608,-0.010209188,-0.29091755,-0.50823236,-0.48449767,0.0
-0.06672993,-0.2822472,2.6948347,-0.055860624,-0.3348582,-0.061032422,-0.33936733,-0.090750165,0.91512936,0.0
-0.08039089,-0.20059273,2.6711824,-0.06909382,-0.25564402,-0.070107445,-0.24785438,-0.08211366,0.8839965,0.0
-0.092117205,-0.118221596,2.4523382,-0.07778896,-0.16818489,-0.078318805,-0.15945472,-0.09466643,0.7041662,0.0
-0.10295167,-0.0566348,2.1220288,-0.08681053,-0.09633463,-0.08778545,-0.089038104,-0.08444194,0.38481352,0.0
-0.040495608,-0.6604118,-1.1347966,0.00066170545,-0.7480884,-0.0,-0.75,-0.5682073,0.87270147,0.0
-0.049606096,-0.63951343,-0.95988226,-0.052156925,-0.6695593,-0.056820728,-0.66272986,0.054079205,0.96714324,0.0
-0.058305707,-0.4597339,-0.8354745,-0.052659836,-0.5741209,-0.051412813,-0.56601554,0.034495786,0.93584245,0.0
-0.063075304,-0.37629727,-0.76846457,-0.04927355,-0.48037484,-0.04796324,-0.47243127,-0.087619126,0.9383831,0.0
-0.06432473,-0.35707748,-0.7911582,-0.05666646,-0.38699308,-0.056725144,-0.37859297,-0.026167423,0.8962455,0.0
-0.08989625,-0.19019632,-0.91685724,-0.05957558,-0.2973215,-0.059341885,-0.2889684,-0.4259955,0.88972425,0.0
-0.102151096,-0.119349554,-1.0659747,-0.09836511,-0.20913216,-0.10194144,-0.199996,-0.121984944,0.8695646,0.0
-0.102759875,-0.09573974,-0.9087281,-0.11277559,-0.12192845,-0.11413993,-0.113039546,0.09239072,0.33825076,0.0
-0.092588544,-0.04863833,-0.5934324,-0.105166696,-0.083001375,-0.10490086,-0.07921447,-0.0023715005,0.2415806,0.0
0.002861525,-0.6342843,-0.42029428,0.00066170545,-0.7480884,-0.0,-0.75,0.17741477,0.9376465,0.0
0.002862909,-0.6342855,-0.42029428,0.014883582,-0.6635579,0.017741479,-0.65623534,-0.17325674,0.9693947,0.0
-0.048353184,-0.45970172,-0.9550195,0.0005298421,-0.56751287,0.000415802,-0.5592959,-0.49737546,0.8989636,0.0
-0.07240208,-0.3699,-1.5222006,-0.045414884,-0.47783592,-0.04932175,-0.4693995,-0.24588066,0.9366666,0.0
-0.07175031,-0.35729727,-1.7404237,-0.07186548,-0.38452354,-0.07390981,-0.37573284,-0.010322472,0.87062675,0.0
-0.082129315,-0.19005404,-1.2058215,-0.07504995,-0.29681548,-0.07494206,-0.28867018,-0.09392422,0.89219457,0.0
-0.09105191,-0.11951275,-0.75375795,-0.08379367,-0.2081607,-0.08433448,-0.19945073,-0.16413994,0.84937817,0.0
-0.093444556,-0.08425945,-0.5517864,-0.09931262,-0.123184524,-0.10074848,-0.11451291,-0.031170534,0.5083927,0.0
0.07626018,-0.43047634,-0.81749487,0.00066170545,-0.7480884,-0.0,-0.75,0.64523697,0.92081714,0.0
0.07626191,-0.43047687,-0.8175082,0.057265114,-0.6656026,0.0645237,-0.6579183,0.42273912,0.8670812,0.0
0.076262645,-0.43047705,-0.81752205,0.101015724,-0.57845545,0.10679761,-0.57121015,-0.07377106,0.8089338,0.0
0.07626337,-0.4304775,-0.81752634,0.09861755,-0.49670705,0.09942051,-0.49031678,-0.35104632,0.9524104,0.0
0.047536943,-0.33823657,-0.57392836,0.06772445,-0.40383962,0.06431587,-0.39507574,-0.21144985,0.8781534,0.0
0.033937912,-0.2938334,-0.4917283,0.0480296,-0.31690815,0.043170884,-0.3072604,-0.37824872,0.7490257,0.0
-0.050965413,-0.154534,-0.4851427,0.008683689,-0.2403575,0.0053460076,-0.23235783,-0.7111335,0.8267105,0.0
-0.08635781,-0.090395525,-0.520576,-0.059461713,-0.15844005,-0.06576735,-0.14968678,-0.3269952,0.6669846,0.0
-0.100185074,-0.05938578,-0.45446777,-0.094816804,-0.09010529,-0.098466866,-0.08298832,0.034938443,0.35517034,0.0
0.06564811,-0.43342483,-0.9774833,0.00066170545,-0.7480884,-0.0,-0.75,0.6197965,0.9190898,0.0
0.06564966,-0.43342513,-0.97749186,0.054960627,-0.66572064,0.06197965,-0.658091,0.3587878,0.8816497,0.0
0.06565029,-0.43342498,-0.9775038,0.092656545,-0.5772671,0.09785843,-0.569926,-0.16939883,0.84337336,0.0
0.06565108,-0.4334254,-0.97750616,0.081375524,-0.49250698,0.08091855,-0.4855887,-0.32200524,0.93871456,0.0
0.027775386,-0.31902134,-0.7073655,0.052239582,-0.40061364,0.048718028,-0.39171726,-0.18056288,0.8397096,0.0
0.01028884,-0.2759588,-0.5520005,0.03287522,-0.31675684,0.03066174,-0.3077463,-0.29018036,0.8542671,0.0
-0.039060637,-0.16640013,-1.0587935,0.0037873674,-0.2312037,0.0016437024,-0.22231959,-0.5365056,0.7956039,0.0
-0.054901034,-0.1208998,-1.6370587,-0.04733469,-0.15122977,-0.052006863,-0.1427592,-0.20338832,0.51915437,0.0
-0.09159157,-0.04475025,-1.1321826,-0.06991454,-0.096438356,-0.0723457,-0.09084377,-0.19726616,0.38144964,0.0
-0.0808284,-0.5094233,-1.2977023,0.00066170545,-0.7480884,-0.0,-0.75,-0.50573874,0.8338805,0.0
-0.080827385,-0.50942314,-1.2977057,-0.046450973,-0.67302895,-0.050573878,-0.66661197,-0.20034572,0.9272511,0.0
-0.080826394,-0.509423,-1.2977071,-0.069251746,-0.5817546,-0.07060845,-0.5738869,-0.09961783,0.9399656,0.0
-0.089500986,-0.43022913,-1.4540105,-0.08025136,-0.48802814,-0.080570236,-0.4798903,-0.059918918,0.9507011,0.0
-0.097604804,-0.3372013,-1.8068252,-0.086543195,-0.3932929,-0.08656213,-0.38482016,-0.051669527,0.94718856,0.0
-0.106451355,-0.2454729,-2.3078718,-0.09168048,-0.2989236,-0.091729075,-0.29010132,-0.1532492,0.7744224,0.0
-0.12144578,-0.1654151,-2.513083,-0.10567916,-0.22034289,-0.107054,-0.21265908,-0.23509216,0.4798131,0.0
-0.12806106,-0.13904874,-2.6034431,-0.12782468,-0.16967893,-0.13056323,-0.16467777,0.1816421,0.60559094,0.0
0.08455024,-0.4075982,-0.34834194,0.00066170545,-0.7480884,-0.0,-0.75,0.7016828,0.9488926,0.0
0.08455107,-0.40759918,-0.34834337,0.062324334,-0.6631347,0.07016828,-0.6551107,0.44280288,0.87640125,0.0
0.084551394,-0.4075994,-0.34834623,0.1084057,-0.57477796,0.11444857,-0.5674706,0.02389219,0.7367215,0.0
0.084551655,-0.4075997,-0.3483472,0.1147609,-0.49966064,0.116837785,-0.49379846,-0.2424352,0.8769283,0.0
0.0812031,-0.3902289,-0.38120413,0.092325434,-0.41414782,0.092594266,-0.40610564,-0.63378155,0.8983754,0.0
-0.022690427,-0.23952498,0.27043772,0.036437064,-0.32691056,0.029216103,-0.3162681,-0.7154045,0.93287337,0.0
-0.0799424,-0.17268568,0.7291107,-0.03600957,-0.23315613,-0.04232435,-0.22298075,-0.52327514,0.5156824,0.0
-0.10088498,-0.15149549,1.0692472,-0.089194655,-0.17711067,-0.09465187,-0.1714125,0.056764107,0.49951345,0.0
-0.10854732,-0.081757605,0.45075274,-0.088760816,-0.1264149,-0.08897546,-0.12146117,-0.23884603,0.35081175,0.0
-0.11123655,-0.063062675,0.23635244,-0.110064894,-0.090117306,-0.11286007,-0.08638,0.06236022,0.30821118,0.0
0.02349179,-0.5573913,-0.8296919,0.00066170545,-0.7480884,-0.0,-0.75,0.4843688,0.9218482,0.0
0.023493664,-0.5573919,-0.8297043,0.0426761,-0.6652797,0.04843688,-0.65781516,-0.1586334,0.9507315,0.0
0.021846177,-0.5412551,-0.89486074,0.032215018,-0.57075477,0.032573543,-0.562742,-0.27953583,0.9584513,0.0
-0.04811727,-0.37637952,-0.28295898,0.006115885,-0.47547367,0.004619971,-0.4668969,-0.5957195,0.87963617,0.0
-0.08173428,-0.3052485,0.15657473,-0.04993525,-0.38789007,-0.05495199,-0.37893328,-0.37462708,0.83770776,0.0
-0.08697071,-0.26785228,0.383291,-0.088836715,-0.3036176,-0.09241471,-0.2951625,0.075314954,0.8843853,0.0
-0.086126275,-0.10755825,0.14155865,-0.08558143,-0.21514657,-0.08488321,-0.20672397,0.09001662,0.9142167,0.0
-0.080268115,-0.04302457,0.032205105,-0.077096775,-0.124233924,-0.075881556,-0.1153023,-0.10124154,0.72933877,0.0
0.00064500596,-0.54440016,-0.87364626,0.00066170545,-0.7480884,-0.0,-0.75,0.2807759,0.8712919,0.0
0.00064662116,-0.5444005,-0.87366056,0.024373116,-0.66967434,0.028077587,-0.6628708,-0.15725511,0.9386216,0.0
0.0006475652,-0.5444011,-0.87366104,0.012269478,-0.57688725,0.012352072,-0.56900865,-0.20026326,0.96635646,0.0
-0.057454523,-0.3714463,-0.9316621,-0.006866976,-0.48084912,-0.0076742545,-0.472373,-0.5318055,0.8883957,0.0
-0.0892747,-0.28327602,-1.1289678,-0.056450035,-0.39237636,-0.060854807,-0.38353342,-0.38617834,0.9037135,0.0
-0.092329204,-0.27339956,-1.2280259,-0.09591947,-0.30224356,-0.09947265,-0.29316208,0.0456374,0.76398456,0.0
-0.088125765,-0.13751644,-0.5979643,-0.09512072,-0.224144,-0.094908915,-0.21676363,0.097083904,0.6989135,0.0
-0.09299408,-0.09067554,-0.05443859,-0.086099155,-0.15362772,-0.085200526,-0.14687228,-0.12680413,0.69017994,0.0
-0.097847685,-0.049726855,0.090596676,-0.09660673,-0.08490001,-0.09788094,-0.077854276,-0.040635146,0.30327976,0.0
-0.08453576,-0.46612015,-0.40471458,0.00066170545,-0.7480884,-0.0,-0.75,-0.41845605,0.80954564,0.0
-0.084534876,-0.4661211,-0.40471697,-0.0385415,-0.67517924,-0.041845612,-0.66904545,-0.16265097,0.85048926,0.0
-0.08453454,-0.4661213,-0.40471983,-0.057077985,-0.5911153,-0.058110707,-0.58399653,-0.21098152,0.93124413,0.0
-0.08453418,-0.46612173,-0.4047203,-0.07783715,-0.49897727,-0.07920886,-0.4908721,0.12447006,0.9456987,0.0
-0.09117286,-0.29537708,-1.0872436,-0.06851666,-0.40442804,-0.06676185,-0.39630222,-0.25926527,0.93029076,0.0
-0.08861563,-0.21386304,-1.7246413,-0.090843834,-0.31219605,-0.09268839,-0.30327317,0.064118594,0.8585312,0.0
