st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
0.036071736,-0.36390617,-0.8531594,0.044485867,-0.4074336,0.042928055,-0.3990308,-0.5342673,0.9466526,0.0
0.026999364,-0.3080694,-0.65265226,-0.00636272,-0.31431237,-0.01049868,-0.30436555,0.7372006,-0.8528969,0.0
0.021149471,-0.3120346,-0.39250135,0.056291874,-0.38331506,0.06322138,-0.38965523,-0.5318688,0.89813626,0.0
0.0049717748,-0.2784867,-0.39702415,0.013746551,-0.30798542,0.010034494,-0.2998416,-0.27971655,0.77838385,0.0
-0.04756819,-0.15298608,0.030316114,-0.0155286295,-0.23002921,-0.017937154,-0.22200324,-0.40858567,0.9359883,0.0
-0.0630316,-0.095166095,-0.0835557,-0.055450555,-0.13813704,-0.058795728,-0.12840441,-0.23469026,0.5414624,0.0
-0.07836317,-0.03961217,-0.056702137,-0.079619214,-0.08022033,-0.08226476,-0.07425816,-0.15678741,0.38655964,0.0
0.024446836,-0.41202873,-0.97164154,0.00066170545,-0.7480884,-0.0,-0.75,0.5661541,0.952967,0.0
0.024448218,-0.41202888,-0.97165155,0.05001509,-0.66254747,0.056615412,-0.6547033,0.12031245,0.81841123,0.0
0.024448875,-0.4120288,-0.971663,0.0658356,-0.5796441,0.068646654,-0.5728622,-0.23735046,0.86353403,0.0
0.02444977,-0.41202915,-0.97166777,0.04595643,-0.49404716,0.044911608,-0.4865088,-0.21836913,0.9342872,0.0
0.010477695,-0.34639508,-1.0077701,0.02435686,-0.4018678,0.023074694,-0.39308006,-0.22179936,0.93463355,0.0
-0.018988818,-0.23070145,-1.0949006,0.0022011474,-0.3088992,0.0008947551,-0.29961672,-0.19825089,0.8958913,0.0
-0.030509716,-0.18741949,-1.2401862,-0.017685015,-0.21916398,-0.01893033,-0.21002759,-0.2799843,0.5982281,0.0
-0.09152403,-0.0796401,-1.3064003,-0.04432608,-0.15657929,-0.046928756,-0.15020478,-0.6123668,0.55188143,0.0
-0.1059331,-0.055142727,-1.4042926,-0.10209573,-0.10077537,-0.10816544,-0.09501664,0.0027257286,0.48479044,0.0
0.06277675,-0.4333232,-1.1365123,0.00066170545,-0.7480884,-0.0,-0.75,0.62636155,0.9191294,0.0
0.062778026,-0.43332317,-1.136518,0.05555636,-0.6657272,0.06263615,-0.6580871,0.31931958,0.88468194,0.0
0.062778674,-0.43332297,-1.1365256,0.08971896,-0.5769739,0.09456811,-0.5696189,-0.18326272,0.8521515,0.0
0.06277932,-0.43332317,-1.1365266,0.07686224,-0.49149126,0.07624184,-0.4844037,-0.31012022,0.9323591,0.0
0.036073755,-0.32857996,-0.8147502,0.048440285,-0.4000813,0.045229822,-0.3911678,0.031921767,0.6661505,0.0
0.02267856,-0.28999376,-0.62137365,0.049406864,-0.3312087,0.048421994,-0.32455274,-0.3722661,0.871767,0.0
-0.037108008,-0.18062001,-1.2093005,0.013939949,-0.24640124,0.011195384,-0.23737603,-0.63444626,0.73694855,0.0
