Step,loss,skilled-haze-1 - loss__MIN,skilled-haze-1 - loss__MAX
0,1.10547733306885,1.10547733306885,1.10547733306885
3,0.977831057310104,0.977831057310104,0.977831057310104
4,0.850952651500702,0.850952651500702,0.850952651500702
5,0.844830425977707,0.844830425977707,0.844830425977707
6,0.841164500713348,0.841164500713348,0.841164500713348
7,0.839154658317566,0.839154658317566,0.839154658317566
8,0.838598678708077,0.838598678708077,0.838598678708077
9,0.836103013157845,0.836103013157845,0.836103013157845
10,0.834529955983162,0.834529955983162,0.834529955983162
11,0.832240011692047,0.832240011692047,0.832240011692047
12,0.829962986111641,0.829962986111641,0.829962986111641
13,0.82770361840725,0.82770361840725,0.82770361840725
14,0.826513850688934,0.826513850688934,0.826513850688934
15,0.824867032766342,0.824867032766342,0.824867032766342
16,0.824056435823441,0.824056435823441,0.824056435823441
17,0.824190852642059,0.824190852642059,0.824190852642059
18,0.822190476059914,0.822190476059914,0.822190476059914
19,0.82340827703476,0.82340827703476,0.82340827703476
20,0.821882734298706,0.821882734298706,0.821882734298706
21,0.822500174641609,0.822500174641609,0.822500174641609
22,0.821239675879478,0.821239675879478,0.821239675879478
24,0.820996991991997,0.820996991991997,0.820996991991997
25,0.820623935461044,0.820623935461044,0.820623935461044
26,0.82065280854702,0.82065280854702,0.82065280854702
27,0.818875492811203,0.818875492811203,0.818875492811203
28,0.819351713061333,0.819351713061333,0.819351713061333
29,0.819834805727005,0.819834805727005,0.819834805727005
30,0.820629357099533,0.820629357099533,0.820629357099533
31,0.819140967726707,0.819140967726707,0.819140967726707
32,0.819349974393845,0.819349974393845,0.819349974393845
33,0.819805842638016,0.819805842638016,0.819805842638016
34,0.817827535867691,0.817827535867691,0.817827535867691
35,0.817803542017937,0.817803542017937,0.817803542017937
36,0.817087906599045,0.817087906599045,0.817087906599045
37,0.818633441329002,0.818633441329002,0.818633441329002
38,0.818302128911018,0.818302128911018,0.818302128911018
39,0.816681298017502,0.816681298017502,0.816681298017502
40,0.817686833143234,0.817686833143234,0.817686833143234
41,0.816774299740791,0.816774299740791,0.816774299740791
42,0.816444131731987,0.816444131731987,0.816444131731987
43,0.81714772105217,0.81714772105217,0.81714772105217
45,0.816323115229607,0.816323115229607,0.816323115229607
46,0.816182203292847,0.816182203292847,0.816182203292847
47,0.817719964981079,0.817719964981079,0.817719964981079
48,0.815963497757912,0.815963497757912,0.815963497757912
49,0.816981220841408,0.816981220841408,0.816981220841408
50,0.815415934920311,0.815415934920311,0.815415934920311
51,0.816609387397766,0.816609387397766,0.816609387397766
52,0.81654732465744,0.81654732465744,0.81654732465744
53,0.81581445991993,0.81581445991993,0.81581445991993
54,0.817001484036446,0.817001484036446,0.817001484036446
55,0.815705514550209,0.815705514550209,0.815705514550209
56,0.814896513819695,0.814896513819695,0.814896513819695
57,0.815405848622322,0.815405848622322,0.815405848622322
58,0.814201394915581,0.814201394915581,0.814201394915581
59,0.815543586611748,0.815543586611748,0.815543586611748
60,0.815112348794937,0.815112348794937,0.815112348794937
61,0.814032841324806,0.814032841324806,0.814032841324806
62,0.814889538884163,0.814889538884163,0.814889538884163
63,0.814483829140663,0.814483829140663,0.814483829140663
64,0.815663458704948,0.815663458704948,0.815663458704948
66,0.815175322890282,0.815175322890282,0.815175322890282
67,0.814171164035797,0.814171164035797,0.814171164035797
68,0.813827884197235,0.813827884197235,0.813827884197235
69,0.814014650583267,0.814014650583267,0.814014650583267
70,0.813768738508225,0.813768738508225,0.813768738508225
71,0.813830507993698,0.813830507993698,0.813830507993698
72,0.81450590968132,0.81450590968132,0.81450590968132
73,0.815084003806114,0.815084003806114,0.815084003806114
74,0.813671243190765,0.813671243190765,0.813671243190765
75,0.8152008664608,0.8152008664608,0.8152008664608
76,0.8131556224823,0.8131556224823,0.8131556224823
77,0.813208444714546,0.813208444714546,0.813208444714546
78,0.813923333883286,0.813923333883286,0.813923333883286
79,0.814241009950638,0.814241009950638,0.814241009950638
80,0.814225299954414,0.814225299954414,0.814225299954414
81,0.812692821025848,0.812692821025848,0.812692821025848
82,0.814170621037483,0.814170621037483,0.814170621037483
83,0.813543176651001,0.813543176651001,0.813543176651001
84,0.812173084020615,0.812173084020615,0.812173084020615
85,0.813254456520081,0.813254456520081,0.813254456520081
87,0.811421136856079,0.811421136856079,0.811421136856079
88,0.812174690365791,0.812174690365791,0.812174690365791
89,0.811960692405701,0.811960692405701,0.811960692405701
90,0.811931318044663,0.811931318044663,0.811931318044663
91,0.81107689678669,0.81107689678669,0.81107689678669
92,0.81269972205162,0.81269972205162,0.81269972205162
93,0.813280125260353,0.813280125260353,0.813280125260353
94,0.811701982021332,0.811701982021332,0.811701982021332
95,0.810809101462364,0.810809101462364,0.810809101462364
96,0.811904053092003,0.811904053092003,0.811904053092003
97,0.812137934565544,0.812137934565544,0.812137934565544
98,0.810835662484169,0.810835662484169,0.810835662484169
99,0.811099904179573,0.811099904179573,0.811099904179573
100,0.811916189789772,0.811916189789772,0.811916189789772
101,0.809888790845871,0.809888790845871,0.809888790845871
102,0.810028717517853,0.810028717517853,0.810028717517853
103,0.811172559857369,0.811172559857369,0.811172559857369
104,0.810668919682503,0.810668919682503,0.810668919682503
105,0.810247295498848,0.810247295498848,0.810247295498848
106,0.809582345485687,0.809582345485687,0.809582345485687
108,0.810252022147179,0.810252022147179,0.810252022147179
109,0.810568930506706,0.810568930506706,0.810568930506706
110,0.810184716582298,0.810184716582298,0.810184716582298
111,0.808635342717171,0.808635342717171,0.808635342717171
112,0.809112512469292,0.809112512469292,0.809112512469292
113,0.81007696211338,0.81007696211338,0.81007696211338
114,0.809310829043388,0.809310829043388,0.809310829043388
115,0.809196239113808,0.809196239113808,0.809196239113808
116,0.809963358044624,0.809963358044624,0.809963358044624
117,0.807301899790764,0.807301899790764,0.807301899790764
118,0.808872608542442,0.808872608542442,0.808872608542442
119,0.807111528515816,0.807111528515816,0.807111528515816
