"Step",loss,"pious-sound-1 - loss__MIN","pious-sound-1 - loss__MAX"
"0","1.1054308414459229","1.1054308414459229","1.1054308414459229"
"3","0.9766664856672287","0.9766664856672287","0.9766664856672287"
"4","0.8501149666309357","0.8501149666309357","0.8501149666309357"
"5","0.8439980190992356","0.8439980190992356","0.8439980190992356"
"6","0.8413202720880508","0.8413202720880508","0.8413202720880508"
"7","0.8404186707735062","0.8404186707735062","0.8404186707735062"
"8","0.8394339871406555","0.8394339871406555","0.8394339871406555"
"9","0.8367989093065262","0.8367989093065262","0.8367989093065262"
"10","0.8347404789924622","0.8347404789924622","0.8347404789924622"
"11","0.833046914935112","0.833046914935112","0.833046914935112"
"12","0.8299030548334122","0.8299030548334122","0.8299030548334122"
"13","0.8268114483356476","0.8268114483356476","0.8268114483356476"
"14","0.8261944812536239","0.8261944812536239","0.8261944812536239"
"15","0.8251624691486359","0.8251624691486359","0.8251624691486359"
"16","0.8247157543897629","0.8247157543897629","0.8247157543897629"
"17","0.8244844126701355","0.8244844126701355","0.8244844126701355"
"18","0.8237975597381592","0.8237975597381592","0.8237975597381592"
"19","0.823470122218132","0.823470122218132","0.823470122218132"
"20","0.821004508137703","0.821004508137703","0.821004508137703"
"21","0.8224717503786088","0.8224717503786088","0.8224717503786088"
"22","0.8205229222774506","0.8205229222774506","0.8205229222774506"
"24","0.8207717144489288","0.8207717144489288","0.8207717144489288"
"25","0.8209551119804382","0.8209551119804382","0.8209551119804382"
"26","0.8207953953742981","0.8207953953742981","0.8207953953742981"
"27","0.8175360172986984","0.8175360172986984","0.8175360172986984"
"28","0.8187861782312393","0.8187861782312393","0.8187861782312393"
"29","0.8190822839736939","0.8190822839736939","0.8190822839736939"
"30","0.8199055224657059","0.8199055224657059","0.8199055224657059"
"31","0.8181607544422149","0.8181607544422149","0.8181607544422149"
"32","0.8192611241340637","0.8192611241340637","0.8192611241340637"
"33","0.8188017684221268","0.8188017684221268","0.8188017684221268"
"34","0.8169842636585236","0.8169842636585236","0.8169842636585236"
"35","0.8171681052446366","0.8171681052446366","0.8171681052446366"
"36","0.8165831381082534","0.8165831381082534","0.8165831381082534"
"37","0.8185036081075668","0.8185036081075668","0.8185036081075668"
"38","0.8178766930103302","0.8178766930103302","0.8178766930103302"
"39","0.8167409056425095","0.8167409056425095","0.8167409056425095"
"40","0.8179979985952377","0.8179979985952377","0.8179979985952377"
"41","0.8163515889644622","0.8163515889644622","0.8163515889644622"
"42","0.8156475442647934","0.8156475442647934","0.8156475442647934"
"43","0.8174098807573319","0.8174098807573319","0.8174098807573319"
"45","0.8161191046237946","0.8161191046237946","0.8161191046237946"
"46","0.8171956640481949","0.8171956640481949","0.8171956640481949"
"47","0.81760449051857","0.81760449051857","0.81760449051857"
"48","0.8155757653713226","0.8155757653713226","0.8155757653713226"
"49","0.8164532512426377","0.8164532512426377","0.8164532512426377"
"50","0.8155751651525498","0.8155751651525498","0.8155751651525498"
"51","0.8159188002347946","0.8159188002347946","0.8159188002347946"
"52","0.8156203335523605","0.8156203335523605","0.8156203335523605"
"53","0.8154065448045731","0.8154065448045731","0.8154065448045731"
"54","0.8163464504480362","0.8163464504480362","0.8163464504480362"
"55","0.8146049237251282","0.8146049237251282","0.8146049237251282"
"56","0.8144899219274521","0.8144899219274521","0.8144899219274521"
"57","0.8152782207727433","0.8152782207727433","0.8152782207727433"
"58","0.8141485297679901","0.8141485297679901","0.8141485297679901"
"59","0.81521553337574","0.81521553337574","0.81521553337574"
"60","0.8145285987854004","0.8145285987854004","0.8145285987854004"
"61","0.8139325022697449","0.8139325022697449","0.8139325022697449"
"62","0.8139312398433686","0.8139312398433686","0.8139312398433686"
"63","0.8144006818532944","0.8144006818532944","0.8144006818532944"
"64","0.8154454326629639","0.8154454326629639","0.8154454326629639"
"66","0.8144016164541245","0.8144016164541245","0.8144016164541245"
"67","0.813931690454483","0.813931690454483","0.813931690454483"
"68","0.8136264973878861","0.8136264973878861","0.8136264973878861"
"69","0.8136208301782608","0.8136208301782608","0.8136208301782608"
"70","0.8135712403059006","0.8135712403059006","0.8135712403059006"
"71","0.813276955485344","0.813276955485344","0.813276955485344"
"72","0.8137514394521713","0.8137514394521713","0.8137514394521713"
"73","0.8145870900154114","0.8145870900154114","0.8145870900154114"
"74","0.8132215732336044","0.8132215732336044","0.8132215732336044"
"75","0.8139076596498489","0.8139076596498489","0.8139076596498489"
"76","0.811280163526535","0.811280163526535","0.811280163526535"
"77","0.8124162143468857","0.8124162143468857","0.8124162143468857"
"78","0.8120300036668777","0.8120300036668777","0.8120300036668777"
"79","0.8130661177635193","0.8130661177635193","0.8130661177635193"
"80","0.812293359041214","0.812293359041214","0.812293359041214"
"81","0.8116932088136672","0.8116932088136672","0.8116932088136672"
"82","0.8119382238388062","0.8119382238388062","0.8119382238388062"
"83","0.8120131552219391","0.8120131552219391","0.8120131552219391"
"84","0.8111781370639801","0.8111781370639801","0.8111781370639801"
"85","0.8115706467628478","0.8115706467628478","0.8115706467628478"
"87","0.8102372521162033","0.8102372521162033","0.8102372521162033"
"88","0.8101771599054337","0.8101771599054337","0.8101771599054337"
"89","0.809357858300209","0.809357858300209","0.809357858300209"
"90","0.8110602647066116","0.8110602647066116","0.8110602647066116"
"91","0.8104918974637986","0.8104918974637986","0.8104918974637986"
"92","0.8103465986251831","0.8103465986251831","0.8103465986251831"
"93","0.8105602771043777","0.8105602771043777","0.8105602771043777"
"94","0.8089216196537018","0.8089216196537018","0.8089216196537018"
"95","0.809152540564537","0.809152540564537","0.809152540564537"
"96","0.8084781223535538","0.8084781223535538","0.8084781223535538"
"97","0.8084125155210495","0.8084125155210495","0.8084125155210495"
"98","0.8082331627607345","0.8082331627607345","0.8082331627607345"
"99","0.809588850736618","0.809588850736618","0.809588850736618"
"100","0.8089733546972275","0.8089733546972275","0.8089733546972275"
"101","0.8084764760732651","0.8084764760732651","0.8084764760732651"
"102","0.8076853317022323","0.8076853317022323","0.8076853317022323"
"103","0.8095523047447205","0.8095523047447205","0.8095523047447205"
"104","0.8077188944816589","0.8077188944816589","0.8077188944816589"
"105","0.8085018932819367","0.8085018932819367","0.8085018932819367"
"106","0.807494044303894","0.807494044303894","0.807494044303894"
"108","0.8082745265960694","0.8082745265960694","0.8082745265960694"
"109","0.8086480647325516","0.8086480647325516","0.8086480647325516"
"110","0.8076332128047943","0.8076332128047943","0.8076332128047943"
"111","0.8066926038265229","0.8066926038265229","0.8066926038265229"
"112","0.8079527813196182","0.8079527813196182","0.8079527813196182"
"113","0.8083230751752853","0.8083230751752853","0.8083230751752853"
"114","0.8079556280374527","0.8079556280374527","0.8079556280374527"
"115","0.8080028420686722","0.8080028420686722","0.8080028420686722"
"116","0.8078398936986924","0.8078398936986924","0.8078398936986924"
"117","0.8067113041877747","0.8067113041877747","0.8067113041877747"
"118","0.8074336719512939","0.8074336719512939","0.8074336719512939"
"119","0.8070148831605911","0.8070148831605911","0.8070148831605911"
"120","0.8067965722084045","0.8067965722084045","0.8067965722084045"
"121","0.8065847951173782","0.8065847951173782","0.8065847951173782"
"122","0.8062704944610596","0.8062704944610596","0.8062704944610596"
"123","0.8078625303506851","0.8078625303506851","0.8078625303506851"
"124","0.8065915191173554","0.8065915191173554","0.8065915191173554"
"125","0.8079051971435547","0.8079051971435547","0.8079051971435547"
"126","0.8062905836105346","0.8062905836105346","0.8062905836105346"
"127","0.805087525844574","0.805087525844574","0.805087525844574"
"129","0.8049577778577804","0.8049577778577804","0.8049577778577804"
"130","0.8067324715852737","0.8067324715852737","0.8067324715852737"
"131","0.8064737153053284","0.8064737153053284","0.8064737153053284"
"132","0.8074003481864929","0.8074003481864929","0.8074003481864929"
"133","0.8058290529251099","0.8058290529251099","0.8058290529251099"
"134","0.8053458398580551","0.8053458398580551","0.8053458398580551"
"135","0.8064672809839248","0.8064672809839248","0.8064672809839248"
"136","0.8045711761713028","0.8045711761713028","0.8045711761713028"
"137","0.804532642364502","0.804532642364502","0.804532642364502"
"138","0.8044336426258087","0.8044336426258087","0.8044336426258087"
"139","0.8052706462144852","0.8052706462144852","0.8052706462144852"
"140","0.8050507205724716","0.8050507205724716","0.8050507205724716"
"141","0.8057331258058548","0.8057331258058548","0.8057331258058548"
"142","0.8046416985988617","0.8046416985988617","0.8046416985988617"
"143","0.8055286204814911","0.8055286204814911","0.8055286204814911"
"144","0.8045205473899841","0.8045205473899841","0.8045205473899841"
"145","0.8052048951387405","0.8052048951387405","0.8052048951387405"
"146","0.8049453496932983","0.8049453496932983","0.8049453496932983"
"147","0.8053842455148696","0.8053842455148696","0.8053842455148696"
"148","0.804107118844986","0.804107118844986","0.804107118844986"
"150","0.8029095888137817","0.8029095888137817","0.8029095888137817"
"151","0.8059501975774765","0.8059501975774765","0.8059501975774765"
"152","0.8041653406620025","0.8041653406620025","0.8041653406620025"
"153","0.8052023547887802","0.8052023547887802","0.8052023547887802"
"154","0.8047908633947373","0.8047908633947373","0.8047908633947373"
"155","0.8036417192220688","0.8036417192220688","0.8036417192220688"
"156","0.8040946513414383","0.8040946513414383","0.8040946513414383"
"157","0.8043370217084884","0.8043370217084884","0.8043370217084884"
"158","0.8031295323371888","0.8031295323371888","0.8031295323371888"
"159","0.8029424220323562","0.8029424220323562","0.8029424220323562"
"160","0.8030256760120392","0.8030256760120392","0.8030256760120392"
"161","0.8038728028535843","0.8038728028535843","0.8038728028535843"
"162","0.8031463521718979","0.8031463521718979","0.8031463521718979"
"163","0.8027949863672257","0.8027949863672257","0.8027949863672257"
"164","0.8034514689445496","0.8034514689445496","0.8034514689445496"
"165","0.8035476744174957","0.8035476744174957","0.8035476744174957"
"166","0.8027348977327347","0.8027348977327347","0.8027348977327347"
"167","0.803266562819481","0.803266562819481","0.803266562819481"
"168","0.8019725459814072","0.8019725459814072","0.8019725459814072"
"169","0.801280746459961","0.801280746459961","0.801280746459961"
"171","0.8025200498104096","0.8025200498104096","0.8025200498104096"
"172","0.8021999657154083","0.8021999657154083","0.8021999657154083"
"173","0.8028155410289765","0.8028155410289765","0.8028155410289765"
"174","0.8013982534408569","0.8013982534408569","0.8013982534408569"
"175","0.802413125038147","0.802413125038147","0.802413125038147"
"176","0.800650594830513","0.800650594830513","0.800650594830513"
"177","0.8021769207715989","0.8021769207715989","0.8021769207715989"
"178","0.8017647224664688","0.8017647224664688","0.8017647224664688"
"179","0.8017437130212783","0.8017437130212783","0.8017437130212783"
"180","0.8024810189008713","0.8024810189008713","0.8024810189008713"
"181","0.799416778087616","0.799416778087616","0.799416778087616"
"182","0.8016524189710617","0.8016524189710617","0.8016524189710617"
"183","0.8012060636281967","0.8012060636281967","0.8012060636281967"
"184","0.8011861091852188","0.8011861091852188","0.8011861091852188"
"185","0.8007760030031205","0.8007760030031205","0.8007760030031205"
"186","0.8007164925336838","0.8007164925336838","0.8007164925336838"
"187","0.8001737761497497","0.8001737761497497","0.8001737761497497"
"188","0.7999828612804413","0.7999828612804413","0.7999828612804413"
"189","0.8006210058927536","0.8006210058927536","0.8006210058927536"
"190","0.8004318737983703","0.8004318737983703","0.8004318737983703"
"192","0.8009633749723435","0.8009633749723435","0.8009633749723435"
"193","0.7997360241413116","0.7997360241413116","0.7997360241413116"
"194","0.8008030807971954","0.8008030807971954","0.8008030807971954"
"195","0.8005280113220214","0.8005280113220214","0.8005280113220214"
"196","0.7990426218509674","0.7990426218509674","0.7990426218509674"
"197","0.7979586201906205","0.7979586201906205","0.7979586201906205"
"198","0.7989199125766754","0.7989199125766754","0.7989199125766754"
"199","0.7990675067901611","0.7990675067901611","0.7990675067901611"
"200","0.7981822860240936","0.7981822860240936","0.7981822860240936"
"201","0.7985543090105057","0.7985543090105057","0.7985543090105057"
"202","0.7994657635688782","0.7994657635688782","0.7994657635688782"
"203","0.7990575474500656","0.7990575474500656","0.7990575474500656"
"204","0.7988716703653336","0.7988716703653336","0.7988716703653336"
"205","0.7988984006643295","0.7988984006643295","0.7988984006643295"
"206","0.7992855185270309","0.7992855185270309","0.7992855185270309"
"207","0.7983436709642411","0.7983436709642411","0.7983436709642411"
"208","0.7985835689306259","0.7985835689306259","0.7985835689306259"
"209","0.7976505345106125","0.7976505345106125","0.7976505345106125"
"210","0.7981151223182679","0.7981151223182679","0.7981151223182679"
"211","0.7965353393554687","0.7965353393554687","0.7965353393554687"
"213","0.7984111845493317","0.7984111845493317","0.7984111845493317"
"214","0.7975754880905152","0.7975754880905152","0.7975754880905152"
"215","0.7959898668527603","0.7959898668527603","0.7959898668527603"
"216","0.7970020550489426","0.7970020550489426","0.7970020550489426"
"217","0.7982694762945175","0.7982694762945175","0.7982694762945175"
"218","0.7971448278427125","0.7971448278427125","0.7971448278427125"
"219","0.7960920929908752","0.7960920929908752","0.7960920929908752"
"220","0.7964185029268265","0.7964185029268265","0.7964185029268265"
"221","0.7983141350746155","0.7983141350746155","0.7983141350746155"
"222","0.7971588289737701","0.7971588289737701","0.7971588289737701"
"223","0.7983715033531189","0.7983715033531189","0.7983715033531189"
"224","0.7976913356781006","0.7976913356781006","0.7976913356781006"
"225","0.7954383563995361","0.7954383563995361","0.7954383563995361"
"226","0.7957030147314071","0.7957030147314071","0.7957030147314071"
"227","0.7968676197528839","0.7968676197528839","0.7968676197528839"
"228","0.7962781578302384","0.7962781578302384","0.7962781578302384"
"229","0.795552020072937","0.795552020072937","0.795552020072937"
"230","0.7957719433307647","0.7957719433307647","0.7957719433307647"
"231","0.7956956106424332","0.7956956106424332","0.7956956106424332"
"232","0.7969295364618302","0.7969295364618302","0.7969295364618302"
"234","0.7960719197988511","0.7960719197988511","0.7960719197988511"
"235","0.7963772875070572","0.7963772875070572","0.7963772875070572"
"236","0.7952017384767532","0.7952017384767532","0.7952017384767532"
"237","0.7964545828104019","0.7964545828104019","0.7964545828104019"
"238","0.7961858862638473","0.7961858862638473","0.7961858862638473"
"239","0.7959351396560669","0.7959351396560669","0.7959351396560669"
"240","0.7966403084993362","0.7966403084993362","0.7966403084993362"
"241","0.7950002580881119","0.7950002580881119","0.7950002580881119"
"242","0.7956566125154495","0.7956566125154495","0.7956566125154495"
"243","0.7964368969202041","0.7964368969202041","0.7964368969202041"
"244","0.7961330902576447","0.7961330902576447","0.7961330902576447"
"245","0.7944505566358566","0.7944505566358566","0.7944505566358566"
"246","0.7952495831251144","0.7952495831251144","0.7952495831251144"
"247","0.7957973670959473","0.7957973670959473","0.7957973670959473"
"248","0.7951767510175705","0.7951767510175705","0.7951767510175705"
"249","0.7941260951757431","0.7941260951757431","0.7941260951757431"
"250","0.796183415055275","0.796183415055275","0.796183415055275"
"251","0.7951889073848725","0.7951889073848725","0.7951889073848725"
"252","0.7944379043579102","0.7944379043579102","0.7944379043579102"
"253","0.7943381679058075","0.7943381679058075","0.7943381679058075"
"255","0.7946351903676987","0.7946351903676987","0.7946351903676987"
"256","0.7945358270406723","0.7945358270406723","0.7945358270406723"
"257","0.79430748462677","0.79430748462677","0.79430748462677"
"258","0.7943368291854859","0.7943368291854859","0.7943368291854859"
"259","0.7936557972431183","0.7936557972431183","0.7936557972431183"
"260","0.7949682188034057","0.7949682188034057","0.7949682188034057"
"261","0.7931081217527389","0.7931081217527389","0.7931081217527389"
"262","0.7953200095891952","0.7953200095891952","0.7953200095891952"
"263","0.7933986067771912","0.7933986067771912","0.7933986067771912"
"264","0.7939111560583114","0.7939111560583114","0.7939111560583114"
"265","0.7935446441173554","0.7935446441173554","0.7935446441173554"
"266","0.7940011298656464","0.7940011298656464","0.7940011298656464"
